incomegp,house,children,singpar,agegp,bankacc,bsocacc,manage,ccarduse,cigbuy,xmasbuy,locintrn,prodebt
5,2,0,0,1,1,1,4,1,1,1,4.829999924,1.879999995
2,1,4,0,2,1,NA,3,1,0,1,4.329999924,5.179999828
1,2,2,0,2,1,1,5,1,1,1,3.829999924,2.819999933
1,3,0,0,4,NA,NA,NA,1,0,1,3.670000076,NA
1,1,0,0,2,0,0,4,NA,0,1,4,3.180000067
5,2,0,0,3,1,1,4,2,0,1,5,4.059999943
1,1,1,0,1,NA,NA,3,1,1,1,3.170000076,2.9400000570000002
1,1,2,0,1,1,0,4,1,1,1,4.329999924,3.880000114
4,2,2,0,2,NA,NA,NA,NA,NA,NA,3.170000076,3.710000038
3,2,0,0,4,1,1,4,1,0,1,3.329999924,3.6500000950000002
2,1,4,0,2,1,1,5,1,1,1,4.329999924,3.529999971
NA,2,2,0,2,NA,NA,2,1,0,1,4,4.059999943
1,1,1,1,1,0,0,4,1,1,0,4,2.819999933
3,3,0,0,3,1,1,4,2,0,0,4.5,3
5,2,2,0,2,1,1,5,1,0,1,4.829999924,3.880000114
4,2,0,0,1,1,1,4,1,0,1,4,4.53000021
1,2,1,1,3,1,1,3,1,0,1,4,NA
3,2,2,1,2,1,0,4,2,NA,NA,2.670000076,3.819999933
2,1,2,0,2,1,0,4,2,0,1,6,NA
2,2,1,0,3,1,0,5,1,0,1,6,1.409999967
4,2,2,0,1,1,1,5,3,0,1,NA,3.589999914
1,3,0,0,4,0,1,5,1,1,1,4,2.9400000570000002
3,2,0,0,1,1,1,5,NA,1,0,5.5,2.9400000570000002
4,2,1,0,2,1,0,4,1,0,1,4.829999924,4
2,1,4,0,2,1,0,3,1,1,0,4.670000076,3.119999886
5,2,0,0,3,1,1,4,3,0,1,5.329999924,2.6500000950000002
2,1,3,1,2,0,1,3,NA,1,1,5.170000076,3.589999914
3,3,0,0,3,1,1,4,2,0,1,3.170000076,3.470000029
3,3,0,0,3,1,1,5,3,0,1,3.329999924,2.24000001
1,1,1,1,2,0,1,2,1,0,1,3.5,3.819999933
5,2,1,0,3,1,0,3,1,0,1,4,3.410000086
1,3,1,1,2,1,0,5,2,0,1,3.5,2.589999914
1,3,0,0,4,1,0,5,2,0,1,NA,2.9400000570000002
3,2,0,0,3,1,1,5,3,0,1,4.329999924,4.059999943
5,1,0,0,1,1,NA,4,3,0,1,4.5,NA
3,3,0,0,3,1,1,5,1,1,1,4.170000076,1.590000033
5,2,0,0,2,1,1,5,3,0,1,NA,NA
3,3,0,0,3,1,1,4,3,0,0,3.329999924,2.710000038
4,3,0,0,4,1,0,4,NA,1,0,4.5,NA
5,2,1,0,2,1,1,4,3,0,1,5.829999924,3.119999886
2,3,0,0,4,1,1,4,2,0,1,2.829999924,NA
3,3,1,0,3,1,0,4,2,0,1,5.829999924,3.3499999050000002
5,2,0,0,3,1,1,4,2,1,0,NA,3.470000029
5,1,0,0,4,1,1,4,1,1,1,5.670000076,2.529999971
3,2,0,0,2,1,0,1,1,1,1,3.829999924,3.289999962
5,2,1,0,2,1,1,5,2,0,1,5.670000076,3.119999886
NA,2,3,0,3,1,1,2,NA,NA,NA,NA,2.819999933
3,2,1,1,3,1,1,5,3,0,1,4,3.529999971
5,3,2,0,2,1,0,3,3,0,1,4.670000076,4.7100000380000004
5,3,1,0,3,1,0,5,3,0,1,4.329999924,3.710000038
