Player,Team,TotalMoney,YearlySalary,Position
Davon Godchaux,Dolphins,2.602,0.65,defensive_line
Davontae Harris,Broncos,0.57,0.57,defensive_back
Dawson Knox,Bills,3.522,0.88,tight_end
Dawuane Smoot,Jaguars,3.846,0.962,defensive_line
Daylon Mack,Ravens,2.819,0.705,defensive_line
De'Anthony Thomas,Ravens,0.805,0.805,receiver
De'Lance Turner,Dolphins,0.57,0.57,running_back
De'Vondre Campbell,Falcons,2.906,0.726,linebacker
Deadrin Senat,Falcons,3.423,0.856,defensive_line
Dean Lowry,Packers,20.325,6.775,defensive_line
Dean Marlowe,Bills,1.2,0.6,defensive_back
Deandre Baker,Giants,10.526,2.631,defensive_back
DeAndre Carter,Texans,0.57,0.57,receiver
DeAndre Hopkins,Texans,81,16.2,receiver
DeAndre Houston-Carson,Bears,0.77,0.77,defensive_back
DeAndre Washington,Raiders,2.609,0.652,running_back
DeAndrew White,Panthers,0.645,0.645,receiver
Deatrich Wise,Patriots,2.981,0.745,defensive_line
Dede Westbrook,Jaguars,3.076,0.769,receiver
Dee Ford,49ers,85,17,defensive_line
Dee Virgin,Lions,1.05,0.525,defensive_back
Deebo Samuel,49ers,7.697,1.924,receiver
DeForest Buckner,49ers,18.191,4.548,defensive_line
Deion Calhoun,Dolphins,1.765,0.588,offensive_line
Deion Jones,Falcons,57,14.25,linebacker
Deionte Thompson,Cardinals,2.87,0.718,defensive_back
Delanie Walker,Titans,17,8.5,tight_end
Delano Hill,Seahawks,3.207,0.802,defensive_back
Demar Dotson,Buccaneers,16.5,5.5,offensive_line
Demarcus Christmas,Seahawks,2.648,0.662,defensive_line
Demarcus Lawrence,Cowboys,105,21,defensive_line
Demarcus Robinson,Chiefs,2.885,0.721,receiver
DeMarcus Walker,Broncos,5.074,1.268,defensive_line
Demario Davis,Saints,24,8,linebacker
Demaryius Thomas,Jets,3,3,receiver
Demetrius Harris,Browns,6,3,tight_end
Demetrius Knox,Seahawks,1.763,0.588,offensive_line
Denico Autry,Colts,17.8,5.933,defensive_line
Dennis Daley,Panthers,2.648,0.662,offensive_line
Dennis Gardeck,Cardinals,1.716,0.572,linebacker
Dennis Kelly,Titans,3.05,1.525,offensive_line
Denzel Perryman,Chargers,12.05,6.025,linebacker
Denzel Ward,Browns,29.165,7.291,defensive_back
Denzelle Good,Raiders,1.8,1.8,offensive_line
Deon Bush,Bears,2.866,0.717,defensive_back
Deon Cain,Colts,2.626,0.656,receiver
Deon Lacey,Dolphins,0.645,0.645,linebacker
Deon Yelder,Chiefs,1.05,0.525,tight_end
Deone Bucannon,Giants,0.805,0.805,linebacker
Deonte Harris,Saints,1.765,0.588,receiver
Derek Barnett,Eagles,12.851,3.213,defensive_line
Derek Carr,Raiders,125.025,25.005,quarterback
Derek Carrier,Raiders,5.55,1.85,tight_end
Derek Rivers,Patriots,3.305,0.826,defensive_line
Derek Watt,Chargers,2.47,0.617,running_back
Derek Wolfe,Broncos,36.7,9.175,defensive_line
Derrick Henry,Titans,5.408,1.352,running_back
Derrick Nnadi,Chiefs,3.746,0.931,defensive_line
Derrius Guice,Redskins,4.542,1.135,running_back
Derwin James,Chargers,12.389,3.097,defensive_back
DeSean Jackson,Eagles,27,9,receiver
Deshaun Watson,Texans,13.854,3.464,quarterback
Deshazor Everett,Redskins,2.6,1.3,defensive_back
DeShon Elliott,Ravens,2.618,0.654,defensive_back
DeShone Kizer,Raiders,4.948,1.237,quarterback
Desmond King,Chargers,2.68,0.67,defensive_back
Desmond Trufant,Falcons,68.75,13.75,defensive_back
DeVante Bausby,Broncos,0.655,0.655,defensive_back
Devante Downs,Giants,0.57,0.57,linebacker
Devante Mays,Jaguars,0.57,0.57,running_back
DeVante Parker,Dolphins,10,5,receiver
Devaroe Lawrence,Browns,1.23,0.615,defensive_line
Devin Bush,Steelers,18.872,4.718,linebacker
Devin Funchess,Colts,10,10,receiver
Devin McCourty,Patriots,47.5,9.5,defensive_back
Devin Singletary,Bills,3.898,0.975,running_back
Devin Smith,Cowboys,1.38,0.69,receiver
Devin White,Buccaneers,29.316,7.329,linebacker
Devine Ozigbo,Jaguars,1.76,0.587,running_back
Devlin Hodges,Steelers,1.08,0.54,quarterback
Devon Kennard,Lions,17.25,5.75,linebacker
Devonta Freeman,Falcons,41.25,8.25,running_back
Devontae Booker,Broncos,2.453,0.613,running_back
Dexter Lawrence,Giants,13.248,3.312,defensive_line
Dexter Williams,Packers,2.686,0.672,running_back
Dillon Gordon,Panthers,1.2,0.6,tight_end
Dion Dawkins,Bills,4.183,1.046,offensive_line
Dion Lewis,Titans,19.8,4.95,running_back
Diontae Johnson,Steelers,4.281,1.07,receiver
Diontae Spencer,Broncos,0.501,0.501,receiver
DJ Alexander,Jaguars,0.805,0.805,linebacker
DJ Chark,Jaguars,4.447,1.112,receiver
DJ Fluker,Seahawks,6,3,offensive_line
DJ Humphries,Cardinals,8.912,2.228,offensive_line
Dominique Rodgers-Cromartie,Redskins,1.075,1.075,defensive_back
Don Muhlbach,Lions,1.12,1.12,offensive_line
Donald Payne,Jaguars,0.645,0.645,linebacker
Donald Penn,Redskins,2.03,2.03,offensive_line
Donnell Greene,Jaguars,1.76,0.587,offensive_line
Donovan Smith,Buccaneers,41.25,13.75,offensive_line
Donovan Wilson,Cowboys,2.648,0.662,defensive_back
Dont'a Hightower,Patriots,35.5,8.875,linebacker
Dontae Johnson,49ers,0.805,0.805,defensive_back
Dontari Poe,Panthers,28,9.333,defensive_line
Dontavius Russell,Jaguars,2.604,0.651,defensive_line
Donte Jackson,Panthers,4.813,1.203,defensive_back
Donte Moncrief,Panthers,9,4.5,receiver
Dontrell Hilliard,Browns,1.05,0.525,running_back
Dontrelle Inman,Chargers,0.895,0.895,receiver
Dorance Armstrong Jr.,Cowboys,3.13,0.782,defensive_line
Dorian O'Daniel,Chiefs,3.323,0.831,linebacker
Dre'Mont Jones,Broncos,4.159,1.04,defensive_line
Dre Greenlaw,49ers,2.842,0.71,linebacker
Dre Kirkpatrick,Bengals,52.5,10.5,defensive_back
Drew Brees,Saints,50,25,quarterback
Drew Forbes,Browns,2.689,0.672,offensive_line
Drew Lock,Broncos,7.011,1.753,quarterback
Drew Sample,Bengals,5.506,1.377,tight_end
Drew Stanton,Browns,6.5,3.25,quarterback
Dru Samia,Vikings,3.26,0.815,offensive_line
Drue Tranquill,Chargers,3.179,0.795,linebacker
Duane Brown,Seahawks,34.5,11.5,offensive_line
Duke Dawson,Broncos,4.745,1.186,defensive_back
Duke Ejiofor,Texans,2.645,0.661,defensive_line
Duke Johnson,Texans,15.61,5.203,running_back
Duke Riley,Eagles,3.518,0.879,linebacker
Duke Shelley,Bears,2.648,0.662,defensive_back
Duke Williams,Bills,1.755,0.585,receiver
Durham Smythe,Dolphins,3.092,0.773,tight_end
Duron Harmon,Patriots,17,4.25,defensive_back
Dustin Colquitt,Chiefs,7.5,2.5,kicker
Dustin Hopkins,Redskins,7.575,2.525,kicker
Dwayne Harris,Raiders,1.6,1.6,receiver
Dwayne Haskins,Redskins,14.417,3.604,quarterback
Dwayne Washington,Saints,1.35,0.675,running_back
Dylan Cantrell,Chargers,1.05,0.525,receiver
Dylan Cole,Texans,1.677,0.559,linebacker
Dymonte Thomas,Broncos,0.645,0.645,defensive_back
Earl Thomas,Ravens,55,13.75,defensive_back
Earl Watford,Buccaneers,0.87,0.87,offensive_line
Easton Stick,Chargers,2.799,0.7,quarterback
Ed Dickson,Seahawks,10.7,3.567,tight_end
Ed Oliver,Bills,19.675,4.919,defensive_line
Eddie Goldman,Bears,42.04,10.51,defensive_line
Eddie Jackson,Bears,3.066,0.766,defensive_back
Eddy Pineiro,Bears,1.735,0.578,kicker
Efe Obada,Panthers,0.57,0.57,defensive_line
EJ Speed,Colts,2.809,0.702,linebacker
Elandon Roberts,Patriots,2.44,0.61,linebacker
Elgton Jenkins,Packers,6.783,1.696,offensive_line
Eli Ankou,Browns,1.38,0.69,defensive_line
Eli Apple,Saints,15.152,3.788,defensive_back
Eli Manning,Giants,84,21,quarterback
Elijah Lee,49ers,0.645,0.645,linebacker
Elijah Wilkinson,Broncos,0.645,0.645,offensive_line
Elijhaa Penny,Giants,0.645,0.645,running_back
Emeke Egbule,Chargers,2.677,0.669,linebacker
Emmanuel Ellerbee,Seahawks,0.57,0.57,linebacker
Emmanuel Moseley,49ers,1.05,0.525,defensive_back
Emmanuel Ogbah,Chiefs,6.61,1.652,defensive_line
Emmanuel Sanders,49ers,33,11,receiver
Equanimeous St. Brown,Packers,2.578,0.645,receiver
Ereck Flowers,Redskins,3.25,3.25,offensive_line
Eric Ebron,Colts,13,6.5,tight_end
Eric Fisher,Chiefs,48,12,offensive_line
Eric Kendricks,Vikings,50,10,linebacker
Eric Kush,Browns,3.75,1.875,offensive_line
Eric Murray,Browns,2.967,0.742,defensive_back
Eric Reid,Panthers,22.05,7.35,defensive_back
Eric Rowe,Dolphins,3.5,3.5,defensive_back
Eric Smith,Giants,1.125,0.563,offensive_line
Eric Weddle,Rams,10.502,5.251,defensive_back
Eric Wilson,Vikings,1.675,0.558,linebacker
Erik Harris,Raiders,5,2.5,defensive_back
Erik Magnuson,Raiders,0.645,0.645,offensive_line
Erik McCoy,Saints,6.091,1.523,offensive_line
Ethan Greenidge,Saints,1.763,0.588,offensive_line
Ethan Pocic,Seahawks,4.409,1.102,offensive_line
Evan Boehm,Dolphins,2.025,2.025,offensive_line
Evan Engram,Giants,10.719,2.68,tight_end
Everson Griffen,Vikings,58,14.5,defensive_line
Ezekiel Ansah,Seahawks,9,9,defensive_line
Ezekiel Elliott,Cowboys,90,15,running_back
Fabian Moreau,Redskins,3.339,0.835,defensive_back
Felton Davis,Chiefs,1.76,0.587,receiver
Fish Smithson,Ravens,0.495,0.495,defensive_back
Fletcher Cox,Eagles,102.6,17.1,defensive_line
Folorunso Fatukasi,Jets,2.634,0.659,defensive_line
Forrest Lamp,Chargers,6.687,1.672,offensive_line
Foster Moreau,Raiders,3.008,0.752,tight_end
Foyesade Oluokun,Falcons,2.607,0.652,linebacker
Frank Clark,Chiefs,104,20.8,defensive_line
Frank Gore,Bills,2,2,running_back
Frank Ragnow,Lions,11.78,2.945,offensive_line
Frankie Luvu,Jets,0.57,0.57,linebacker
Fred Brown,Broncos,1.08,0.54,receiver
Fred Johnson,Bengals,1.77,0.59,offensive_line
Fred Warner,49ers,3.979,0.995,linebacker
Gabe Jackson,Raiders,55,11,offensive_line
Gardner Minshew,Jaguars,2.712,0.678,quarterback
Gareon Conley,Texans,10.468,2.617,defensive_back
Garett Bolles,Broncos,11.032,2.758,offensive_line
Garrett Bradbury,Vikings,12.883,3.221,offensive_line
Garrett Celek,49ers,10,2.5,tight_end
Garrett Gilbert,Browns,1.38,0.69,quarterback
Garrett Griffin,Saints,1.23,0.615,tight_end
Genard Avery,Eagles,2.749,0.687,linebacker
Geno Atkins,Bengals,65.2,16.3,defensive_line
Geno Smith,Seahawks,0.87,0.87,quarterback
Geoff Swaim,Jaguars,6.6,3.3,tight_end
George Asafo-Adjei,Giants,2.612,0.653,offensive_line
George Fant,Seahawks,3.095,3.095,offensive_line
George Kittle,49ers,2.698,0.675,tight_end
George Odum,Colts,1.723,0.574,defensive_back
Gerald Everett,Rams,6.044,1.511,tight_end
Gerald McCoy,Panthers,8,8,defensive_line
Geremy Davis,Chargers,0.895,0.895,receiver
Germain Ifedi,Seahawks,8.265,2.066,offensive_line
Germaine Pratt,Bengals,4.084,1.021,linebacker
Geron Christian,Redskins,3.972,0.993,offensive_line
Geronimo Allison,Packers,2.8,2.8,receiver
Giovani Bernard,Bengals,9.7,4.85,running_back
Golden Tate,Giants,37.5,9.375,receiver
Grady Jarrett,Falcons,68,17,defensive_line
Graham Gano,Panthers,17,4.25,kicker
Graham Glasgow,Lions,3.038,0.759,offensive_line
Grant Haley,Giants,1.05,0.525,defensive_back
Greedy Williams,Browns,6.459,1.615,defensive_back
Greg Dortch,Panthers,1.08,0.54,receiver
Greg Gaines,Rams,3.147,0.787,defensive_line
Greg Little,Panthers,7.639,1.91,offensive_line
Greg Mabin,Bengals,0.645,0.645,defensive_back
Greg Mancz,Texans,6,3,offensive_line
Greg Olsen,Panthers,17.1,8.55,tight_end
Greg Roberts,Packers,1.762,0.587,linebacker
Greg Robinson,Browns,6.5,6.5,offensive_line
Greg Senat,Chiefs,2.578,0.645,offensive_line
Greg Stroman,Redskins,2.536,0.634,defensive_back
Greg Van Roten,Panthers,1.66,0.83,offensive_line
Greg Zuerlein,Rams,6.75,2.25,kicker
Grover Stewart,Colts,2.534,0.634,defensive_line
Gunner Olszewski,Patriots,1.758,0.586,receiver
Gus Edwards,Ravens,0.57,0.57,running_back
Ha-Ha Clinton-Dix,Bears,3,3,defensive_back
Haason Reddick,Cardinals,13.478,3.37,linebacker
Hakeem Butler,Cardinals,3.328,0.832,receiver
Halapoulivaati Vaitai,Eagles,2.565,0.641,offensive_line
Hale Hentges,Redskins,1.77,0.59,tight_end
Harold Landry,Titans,6.734,1.683,linebacker
Harrison Butker,Chiefs,20.275,4.055,kicker
Harrison Phillips,Bills,3.235,0.809,defensive_line
Harrison Smith,Vikings,51.25,10.25,defensive_back
Harvey Langi,Jets,1.23,0.615,linebacker
Hassan Ridgeway,Eagles,2.9,0.725,defensive_line
Hayden Hurst,Ravens,11.036,2.759,tight_end
Henry Anderson,Jets,25.2,8.4,defensive_line
Hercules Mata'afa,Vikings,1.714,0.571,defensive_line
Hjalte Froholdt,Patriots,3.243,0.811,offensive_line
Holton Hill,Vikings,1.725,0.575,defensive_back
Horace Richardson,Broncos,1.56,0.52,defensive_back
Hroniss Grasu,Titans,0.72,0.72,offensive_line
Hunter Bradley,Packers,2.537,0.634,offensive_line
Hunter Henry,Chargers,6.38,1.595,tight_end
Hunter Renfrow,Raiders,2.836,0.709,receiver
Ian Thomas,Panthers,3.208,0.802,tight_end
Ibraheim Campbell,Packers,0.805,0.805,defensive_back
Ifeadi Odenigbo,Vikings,1.23,0.615,defensive_line
Ike Boettger,Bills,1.716,0.572,offensive_line
Iman Marshall,Ravens,3.196,0.799,defensive_back
Ira Savage-Lewis,Texans,1.756,0.585,defensive_line
Irv Smith Jr.,Vikings,5.798,1.45,tight_end
Isaac Rochell,Chargers,0.645,0.645,defensive_line
Isaac Seumalo,Eagles,17.627,5.626,offensive_line
Isaac Whitney,Texans,1.23,0.615,receiver
Isaac Yiadom,Broncos,3.323,0.831,defensive_back
Isaiah Buggs,Steelers,2.689,0.672,defensive_line
Isaiah Crowell,Raiders,1,1,running_back
Isaiah Irving,Bears,0.645,0.645,linebacker
Isaiah Johnson,Raiders,3.182,0.796,defensive_back
Isaiah Johnson,Colts,0.72,0.72,defensive_back
Isaiah Mack,Titans,1.768,0.589,defensive_line
Isaiah McKenzie,Bills,1.2,0.6,receiver
Isaiah Oliver,Falcons,4.637,1.159,defensive_back
Isaiah Prince,Dolphins,2.67,0.668,offensive_line
Isaiah Searight,Giants,0.495,0.495,tight_end
Isaiah Wynn,Patriots,11.442,2.86,offensive_line
Iseoluwapo Jegede,Colts,1.775,0.592,defensive_line
Ito Smith,Falcons,3.081,0.77,running_back
J'Marcus Webb,Dolphins,0.93,0.93,offensive_line
J.C. Jackson,Patriots,1.72,0.573,defensive_back
J.C. Tretter,Browns,16.75,5.583,offensive_line
J.D. McKissic,Lions,0.72,0.72,receiver
J.J. Watt,Texans,100,16.667,defensive_line
J.J. Wilcox,Falcons,0.895,0.895,defensive_back
J.P. Holtz,Bears,0.495,0.495,tight_end
J.R. Sweezy,Cardinals,9,4.5,offensive_line
J.T. Gray,Saints,0.57,0.57,defensive_back
Ja'Whaun Bentley,Patriots,2.764,0.691,linebacker
Ja'Wuan James,Broncos,51,12.75,offensive_line
Jabaal Sheard,Colts,25.5,8.5,defensive_line
Jabrill Peppers,Giants,10.342,2.586,defensive_back
Jace Sternberger,Packers,3.866,0.966,tight_end
Jack Cichy,Buccaneers,2.605,0.651,linebacker
Jack Conklin,Titans,15.898,3.974,offensive_line
Jack Crawford,Falcons,9.9,2.475,defensive_line
Jack Doyle,Colts,18.9,6.3,tight_end
Jacob Dolegala,Bengals,1.76,0.587,quarterback
Jacob Hollister,Seahawks,0.645,0.645,tight_end
Jacob Martin,Texans,2.622,0.656,linebacker
Jacoby Brissett,Colts,27.975,27.975,quarterback
Jadeveon Clowney,Seahawks,15,15,linebacker
Jaeden Graham,Falcons,1.08,0.54,tight_end
Jahlani Tavai,Lions,6.894,1.723,linebacker
Jahleel Addae,Texans,1.105,1.105,defensive_back
Jaire Alexander,Packers,12.051,3.013,defensive_back
Jake Bailey,Patriots,2.811,0.703,kicker
Jake Butt,Broncos,2.701,0.675,tight_end
Jake Elliott,Eagles,0.645,0.645,kicker
Jake Gervase,Rams,1.08,0.54,defensive_back
Jake Kumerow,Packers,0.57,0.57,receiver
Jake Matthews,Falcons,72.5,14.5,offensive_line
Jake McQuaide,Rams,3.525,1.175,offensive_line
Jake Rodgers,Broncos,0.495,0.495,offensive_line
Jake Ryan,Jaguars,8,4,linebacker
Jakeem Grant,Dolphins,19.7,4.925,receiver
Jakob Johnson,Patriots,1.08,0.54,running_back
Jakobi Meyers,Patriots,1.765,0.588,receiver
Jaleel Johnson,Vikings,3.078,0.77,defensive_line
Jaleel Scott,Ravens,3.04,0.76,receiver
Jalen Hurd,49ers,4.28,1.07,receiver
Jalen Jelks,Cowboys,2.599,0.65,defensive_line
Jalen Mills,Eagles,2.417,0.604,defensive_back
Jalen Ramsey,Rams,23.351,5.838,defensive_back
Jalen Reeves-Maybin,Lions,3.013,0.753,linebacker
Jalen Richard,Raiders,3.095,3.095,running_back
Jalen Thompson,Cardinals,2.863,0.716,defensive_back
Jalin Moore,Jets,1.764,0.587,running_back
Jalyn Holmes,Vikings,3.191,0.798,defensive_line
Jamaal Williams,Packers,2.966,0.741,running_back
Jamal Adams,Jets,22.259,5.565,defensive_back
Jamal Agnew,Lions,2.658,0.665,defensive_back
Jamal Carter,Falcons,1.23,0.615,linebacker
Jamar Taylor,Seahawks,0.805,0.805,defensive_back
Jamarco Jones,Seahawks,2.705,0.676,offensive_line
Jameis Winston,Buccaneers,25.351,6.338,quarterback
Jamel Dean,Buccaneers,3.559,0.89,defensive_back
James Bradberry,Panthers,3.961,0.99,defensive_back
James Burgess,Jets,0.645,0.645,linebacker
James Carpenter,Falcons,21,5.25,offensive_line
James Conner,Steelers,3.175,0.794,running_back
James Crawford,Dolphins,1.71,0.57,linebacker
James Daniels,Bears,6.95,1.738,offensive_line
James Develin,Patriots,3.6,1.8,running_back
James Ferentz,Patriots,0.72,0.72,offensive_line
James Hurst,Ravens,17.5,4.375,offensive_line
James O'Shaughnessy,Jaguars,2.225,1.113,tight_end
James Onwualu,Jaguars,1.2,0.6,linebacker
James Washington,Steelers,4.501,1.125,receiver
James White,Patriots,12,4,running_back
James Winchester,Chiefs,4.45,0.89,offensive_line
Jamie Collins,Patriots,2,2,linebacker
Jamie Gillan,Browns,1.765,0.588,kicker
Jamil Demby,Rams,1.71,0.57,offensive_line
Jamil Douglas,Titans,1.23,0.615,offensive_line
Jamison Crowder,Jets,28.5,9.5,receiver
Jamize Olawale,Cowboys,5.4,1.8,running_back
Jamon Brown,Falcons,18.25,6.083,offensive_line
Janoris Jenkins,Giants,62.5,12.5,defensive_back
Jaquan Johnson,Bills,2.704,0.676,defensive_back
Jaquiski Tartt,49ers,13,6.5,defensive_back
Jared Cook,Saints,15,7.5,tight_end
Jared Goff,Rams,134,33.5,quarterback
Jarius Wright,Panthers,7.5,2.5,receiver
Jaron Brown,Seahawks,1.5,1.5,receiver
Jarrad Davis,Lions,10.969,2.742,linebacker
Jarran Reed,Seahawks,4.89,1.222,defensive_line
Jarrett Stidham,Patriots,3.156,0.789,quarterback
Jarrod Wilson,Jaguars,7.25,2.417,defensive_back
Jarvis Landry,Browns,75.5,15.1,receiver
Jason Croom,Bills,1.054,0.527,tight_end
Jason Kelce,Eagles,24.5,8.167,offensive_line
Jason McCourty,Patriots,10,5,defensive_back
Jason Moore,Chargers,1.755,0.585,receiver
Jason Myers,Seahawks,15.45,3.863,kicker
Jason Peters,Eagles,6,6,offensive_line
Jason Pierre-Paul,Buccaneers,62,15,defensive_line
Jason Pierre-Paul,Buccaneers,5,5,defensive_line
Jason Sanders,Dolphins,2.551,0.638,kicker
Jason Spriggs,Packers,5.004,1.251,offensive_line
Jason Verrett,49ers,3,3,defensive_back
Jason Witten,Cowboys,4.25,4.25,tight_end
Jatavis Brown,Chargers,2.524,0.631,linebacker
Javarius Leamon,Bengals,1.05,0.525,offensive_line
Javien Elliott,Panthers,0.72,0.72,defensive_back
Javon Hargrave,Steelers,3.114,0.779,defensive_line
Javon Patterson,Colts,2.595,0.649,offensive_line
Javon Wims,Bears,2.556,0.639,receiver
Jawaan Taylor,Jaguars,7.843,1.961,offensive_line
Jaylen Samuels,Steelers,2.718,0.68,tight_end
Jaylen Watkins,Chargers,0.835,0.835,defensive_back
Jaylon Ferguson,Ravens,3.655,0.914,linebacker
Jaylon Smith,Cowboys,63.75,12.75,linebacker
Jayon Brown,Titans,2.672,0.668,linebacker
Jayron Kearse,Vikings,2.404,0.601,defensive_back
Jeff Driskel,Lions,0.645,0.645,quarterback
Jeff Heath,Cowboys,7.671,1.918,defensive_back
Jeff Heuerman,Broncos,8,4,tight_end
Jeff Wilson,49ers,0.57,0.57,running_back
Jeffery Simmons,Titans,12.664,3.166,defensive_line
Jeffrey Jansen,Panthers,5.475,1.095,offensive_line
Jerald Hawkins,Buccaneers,2.87,0.718,offensive_line
Jeremiah Attaochu,Broncos,0.805,0.805,defensive_line
Jeremy Boykins,Seahawks,0.495,0.495,defensive_back
Jeremy Reaves,Redskins,1.08,0.54,defensive_back
Jeremy Sprinkle,Redskins,2.677,0.669,tight_end
Jerick McKinnon,49ers,30,7.5,running_back
"Jermaine Carter, Jr.",Panthers,2.733,0.683,linebacker
Jermaine Eluemunor,Patriots,0.645,0.645,offensive_line
Jermaine Grace,Falcons,0.57,0.57,linebacker
Jermaine Kearse,Lions,1.35,1.35,receiver
Jerome Baker,Dolphins,3.809,0.952,linebacker
Jerome Cunningham,Redskins,0.645,0.645,tight_end
Jerry Hughes,Bills,21.5,10.75,defensive_line
Jerry Tillery,Chargers,11.422,2.856,defensive_line
Jesse Davis,Dolphins,15.05,5.017,offensive_line
Jesse James,Lions,22.6,5.65,tight_end
Jessie Bates III,Bengals,4.948,1.237,defensive_back
Jihad Ward,Ravens,0.72,0.72,defensive_line
Jimmie Ward,49ers,4.5,4.5,defensive_back
Jimmy Garoppolo,49ers,137.5,27.5,quarterback
Jimmy Graham,Packers,30,10,tight_end
Jimmy Moreland,Redskins,2.618,0.654,defensive_back
Jimmy Smith,Ravens,41.102,10.276,defensive_back
JJ Arcega-Whiteside,Eagles,4.951,1.238,receiver
JK Scott,Packers,2.678,0.669,kicker
Joe Cardona,Patriots,4.31,1.078,offensive_line
Joe Dahl,Lions,3.6,1.8,offensive_line
Joe Flacco,Broncos,66.4,22.133,quarterback
Joe Haden,Steelers,22,11,defensive_back
Joe Haeg,Colts,2.582,0.646,offensive_line
Joe Jackson,Cowboys,2.807,0.702,defensive_line
Joe Looney,Cowboys,2.1,1.05,offensive_line
Joe Mixon,Bengals,5.45,1.363,running_back
Joe Ostman,Eagles,1.103,0.551,defensive_line
Joe Schobert,Browns,2.974,0.743,linebacker
Joe Staley,49ers,28,14,offensive_line
Joe Thomas,Cowboys,3.6,1.8,linebacker
Joe Thuney,Patriots,3.213,0.803,offensive_line
Joe Walker,Cardinals,1.2,0.6,linebacker
Joe Webb,Texans,1.02,1.02,quarterback
Joejuan Williams,Patriots,6.627,1.657,defensive_back
Joel Bitonio,Browns,50,10,offensive_line
Joel Iyiegbuniwe,Bears,3.139,0.785,linebacker
Joey Bosa,Chargers,25.874,6.468,defensive_line
Joey Hunt,Seahawks,0.72,0.72,offensive_line
Joey Ivie,Chiefs,0.495,0.495,defensive_line
Joey Slye,Panthers,0.495,0.495,kicker
John Atkins,Lions,1.08,0.54,defensive_line
John Brown,Bills,27,9,receiver
John Cominsky,Falcons,3.008,0.752,defensive_line
John Franklin-Myers,Jets,2.912,0.728,defensive_line
John Jenkins,Dolphins,0.805,0.805,defensive_line
John Jerry,Bengals,0.93,0.93,offensive_line
John Johnson,Rams,3.259,0.815,defensive_back
John Kelly,Rams,0.57,0.57,running_back
John Lovett,Chiefs,1.755,0.585,quarterback
John Miller,Bengals,17.1,5.7,offensive_line
John Ross,Bengals,17.116,4.279,receiver
John Simon,Patriots,4.15,2.075,defensive_line
John Ursua,Seahawks,2.603,0.651,receiver
Johnathan Abram,Raiders,11.495,2.874,defensive_back
Johnathan Cyprien,Falcons,0.895,0.895,defensive_back
Johnathan Hankins,Raiders,8.5,4.25,defensive_line
Johnathan Joseph,Texans,6,6,defensive_back
Johnny Hekker,Rams,18.75,3.75,kicker
Johnny Holton,Steelers,1.38,0.69,receiver
Johnny Mundt,Rams,1.05,0.525,tight_end
Johnson Bademosi,Saints,0.93,0.93,defensive_back
JoJo Natson,Rams,0.645,0.645,receiver
Jomal Wiltz,Dolphins,1.08,0.54,defensive_back
Jon'Vea Johnson,Cowboys,1.765,0.588,receiver
Jon Bostic,Redskins,0.895,0.895,linebacker
Jon Feliciano,Bills,7.25,3.625,offensive_line
Jon Halapio,Giants,0.645,0.645,offensive_line
Jon Weeks,Texans,3.9,0.975,offensive_line
Jonah Williams,Bengals,17.63,4.408,offensive_line
Jonathan Allen,Redskins,11.597,2.899,defensive_line
Jonathan Bullard,Cardinals,3.414,0.853,defensive_line
Jonathan Harris,Broncos,1.08,0.54,defensive_line
Jonathan Jones,Patriots,21,7,defensive_back
Jonathan Ledbetter,Dolphins,1.77,0.59,defensive_line
Jonathan Williams,Colts,1.35,0.675,running_back
Jonathan Woodard,Dolphins,0.645,0.645,defensive_line
Jonnu Smith,Titans,3.176,0.794,tight_end
Jonotthan Harrison,Jets,5,2.5,offensive_line
Jordan Akins,Texans,3.324,0.831,tight_end
Jordan Berry,Steelers,3.7,1.85,kicker
Jordan Brailford,Redskins,2.595,0.649,linebacker
Jordan Dangerfield,Steelers,0.645,0.645,defensive_back
Jordan Devey,Raiders,0.895,0.895,offensive_line
Jordan Evans,Bengals,2.557,0.639,linebacker
Jordan Hicks,Cardinals,34,8.5,linebacker
Jordan Howard,Eagles,2.588,0.647,running_back
Jordan Jenkins,Jets,3.124,0.781,linebacker
Jordan Kunaszyk,Panthers,1.765,0.588,linebacker
Jordan Leggett,Buccaneers,0.645,0.645,tight_end
Jordan Lucas,Chiefs,2.025,2.025,defensive_back
Jordan Mailata,Eagles,2.549,0.637,offensive_line
Jordan Miller,Falcons,2.755,0.689,defensive_back
Jordan Mills,Cardinals,1.25,1.25,offensive_line
Jordan Phillips,Bills,4.5,4.5,defensive_line
Jordan Poyer,Bills,13,3.25,defensive_back
Jordan Reed,Redskins,46.75,9.35,tight_end
Jordan Richards,Ravens,0.805,0.805,defensive_back
Jordan Roos,Seahawks,0.57,0.57,offensive_line
Jordan Scarlett,Panthers,2.831,0.708,running_back
Jordan Simmons,Seahawks,0.57,0.57,offensive_line
Jordan Thomas,Texans,2.578,0.645,tight_end
Jordan Whitehead,Buccaneers,3.127,0.782,defensive_back
Jordan Wilkins,Colts,2.701,0.675,running_back
Jordan Williams,Titans,1.23,0.615,defensive_line
Jordan Willis,Jets,3.617,0.904,linebacker
Joseph Jones,Broncos,0.645,0.645,linebacker
Joseph Noteboom,Rams,3.452,0.863,offensive_line
Josey Jewell,Broncos,3.174,0.793,linebacker
Josh Adams,Jets,0.57,0.57,running_back
Josh Allen,Jaguars,22.743,5.686,defensive_line
