Year  Country	Magnitude
1978	RUSSIA	7.7
1978	PERU	5.6
1978	JAPAN	7.4
1978	PHILIPPINES	6.9
1978	GREECE	6.5
1978	TAIWAN	7.1
1978	MEXICO	7.8
1979	JAPAN	6.5
1979	USA	7.1
1979	MEXICO	7.6
1979	MONTENEGRO	7.1
1979	GREECE	5.8
1979	FRENCH_POLYNESIA	6
1979	INDONESIA	8.1
1979	COLOMBIA	5
1979	FIJI	6.9
1979	ECUADOR	7.7
1980	RUSSIA	6.8
1980	USA	5.1
1980	JAPAN	6.7
1980	VANUATU	7.5
1981	JAPAN	7
1981	GREECE	6.7
1981	GREECE	6.7
1981	NEW_ZEALAND	7.6
1981	SAMOA_ISLANDS	7.5
1981	MEXICO	7.4
1982	INDONESIA	5.4
1982	INDONESIA	5.8
1982	JAPAN	7.1
1982	JAPAN	7
1982	NEW_ZEALAND	7.7
1982	INDONESIA	5.6
1982	INDONESIA	5.9
1982	JAPAN	6.4
1983	INDONESIA	6.5
1983	PAPUA_NEW_GUINEA	7.6
1983	JAPAN	7.7
1983	JAPAN	5.6
1983	JAPAN	6.9
1983	GREECE	7
1983	RUSSIA	6.5
1983	PHILIPPINES	6.5
1983	CHILE	7.3
1983	INDIA	7.7
1984	INDONESIA	6.6
1984	GREECE	5.4
1984	RUSSIA	7
1984	JAPAN	5.5
1984	JAPAN	6.9
1984	JAPAN	6.9
1984	RUSSIA	6.2
1985	CHILE	7.8
1985	WEST_INDIES	6.8
1985	INDONESIA	6.2
1985	PAPUA_NEW_GUINEA	7.4
1985	MEXICO	8.1
1985	MEXICO	7.6
1986	USA	7.7
1986	USA	6.6
1986	NEW_ZEALAND	8.1
1987	JAPAN	6.3
1987	PAPUA_NEW_GUINEA	7.4
1987	CHILE	7.3
1987	JAPAN	6.7
1987	JAPAN	5.1
1987	VANUATU	6
1987	VANUATU	7.1
1987	TONGA	7.3
1987	SOLOMON_ISLANDS	6.8
1987	PAPUA_NEW_GUINEA	7.7
1987	USA	6.9
1987	INDONESIA	5.8
1987	USA	7.6
1988	CHILE	6.7
1988	USA	7.6
1988	CHINA	5.4
1988	PAPUA_NEW_GUINEA	6.8
1988	INDIA	7.1
1988	SOLOMON_ISLANDS	7.4
1989	AUSTRALIA	8.2
1989	USA	6.1
1989	USA	6.9
1989	USA	7.1
1989	JAPAN	6.6
1989	USA	5.2
1989	JAPAN	7.4
1990	JAPAN	6.4
1990	COSTA_RICA	7
1990	NORTHERN_MARIANA_ISLANDS	7.5
1990	JAPAN	6.5
1990	ITALY	5.3
1990	TAIWAN	5.9
1991	SOLOMON_ISLANDS	6.9
1991	RUSSIA	5.7
1991	BERING_SEA	6.5
1991	COSTA_RICA	7.4
1991	INDONESIA	6.2
1991	INDONESIA	6.2
1991	SOLOMON_ISLANDS	7.1
1991	RUSSIA	7.4
1992	SOUTH_CHINA_SEA	3.7
1992	USA	7.1
1992	PHILIPPINES	7.5
1992	SOLOMON_ISLANDS	7
1992	JAPAN	7
1992	JAPAN	6.3
1992	NICARAGUA	7.2
1992	INDONESIA	7.5
1993	JAPAN	6.3
1993	RUSSIA	7.3
1993	JAPAN_SEA	7.6
1993	JAPAN	6.3
1993	GUAM	8.2
1993	RUSSIA	7
1994	USA	6.8
1994	INDONESIA	6.2
1994	INDONESIA	7
1994	GREECE	7
1994	JAPAN	6.4
1994	INDONESIA	7.2
1994	USA	7.1
1994	RUSSIA	8.3
1994	INDONESIA	6.9
1994	RUSSIA	7.1
1994	PHILIPPINES	7.1
1994	JAPAN	7.5
1995	JAPAN	6.9
1995	INDONESIA	6.8
1995	INDONESIA	6.8
1995	INDONESIA	7.1
1995	TONGA	8
1995	PHILIPPINES	6.3
1995	PHILIPPINES	7.3
1995	PHILIPPINES	7
1995	GREECE	6.6
1995	INDONESIA	6.9
1995	NEW_CALEDONIA	7.7
1995	RUSSIA	7.5
1995	GREECE	6.3
1995	CHILE	7.3
1995	SOLOMON_ISLANDS	7.8
1995	MEXICO	7.2
1995	MEXICO	7.6
1995	JAPAN	6.9
1995	JAPAN	6.9
1995	CHILE	6.4
1995	EGYPT	7.3
1995	RUSSIA	7.9
1996	INDONESIA	7.6
1996	INDONESIA	8.1
1996	PERU	6.6
1996	MEXICO	6.9
1996	USA	7.6
1996	USA	7.1
1996	JAPAN	5.1
1996	CHILE	7
1996	JAPAN	6.6
1996	JAPAN	6.6
1996	PERU	7.3
1996	JAPAN_SEA	6.6
1996	INDONESIA	7
1997	FIJI	4.7
1997	SOLOMON_ISLANDS	7.9
1997	VENEZUELA	7
1997	TONGA	7.7
1997	CHILE	6.8
1997	RUSSIA	7.6
1998	TAIWAN	7.3
1998	PAPUA_NEW_GUINEA	7.1
1998	INDIA	7.2
1999	TURKEY	7.8
1999	VANUATU	7.3
2000	INDONESIA	7.5
2000	INDIA	7.8
2000	JAPAN	6.1
2000	PAPUA_NEW_GUINEA	8.2
2001	PERU	8.2
2001	TAIWAN	7.3
2002	VANUATU	7.5
2002	PHILIPPINES	7.2
2002	JAPAN	6.4
2002	TAIWAN	7.4
2002	PAPUA_NEW_GUINEA	7.8
2002	INDIA	6.7
2002	INDONESIA	7.7
2003	SOLOMON_ISLANDS	7.8
2003	MEXICO	7.6
2003	ALGERIA	6.9
2003	NEW_ZEALAND	7.5
2003	JAPAN	8.1
2003	JAPAN	6.8
2003	USA	7.2
2004	INDONESIA	6.5
2004	JAPAN	7.2
2004	JAPAN	7.4
2004	INDONESIA	9
