date,time,no,no2,pm10,co2,temp,humi
2013-06-11,19:00,12,44,NA,609,25.6,50
2013-06-11,20:00,14,35,NA,575,25.9,50.2
2013-06-11,21:00,15,29,NA,567,26.1,50.2
2013-06-11,22:00,15,29,NA,566,26,51.1
2013-06-11,23:00,12,27,NA,518,25.7,51.7
2013-06-12,00:00,7,24,NA,434,25.1,52.6
2013-06-12,01:00,240,51,NA,458,24.8,53.4
2013-06-12,02:00,44,24,NA,419,24.3,54.2
2013-06-12,03:00,5,17,NA,408,24.7,52
2013-06-12,04:00,6,18,NA,420,24.4,53.3
2013-06-12,05:00,13,18,NA,465,24.8,52.6
2013-06-12,06:00,31,27,NA,533,25,52.9
2013-06-12,07:00,53,39,NA,597,24.6,55.4
2013-06-12,08:00,86,43,NA,680,24.9,54.8
2013-06-12,09:00,49,32,NA,616,25,53.8
2013-06-12,10:00,42,35,NA,579,25.1,52.9
2013-06-12,11:00,33,33,NA,602,25.3,51.8
2013-06-12,12:00,35,37,NA,611,25.4,52.1
2013-06-12,13:00,36,35,NA,643,25.7,53.9
2013-06-12,14:00,43,31,NA,649,25.8,56.4
2013-06-12,15:00,40,28,NA,674,25.8,56.6
2013-06-12,16:00,47,31,NA,802,26,56.9
2013-06-12,17:00,47,32,NA,782,26.2,56.9
2013-06-12,18:00,48,33,NA,762,26.4,56.7
2013-06-12,19:00,39,30,NA,641,26.1,57.4
2013-06-12,20:00,71,26,NA,620,26.6,56.8
2013-06-12,21:00,39,19,NA,603,26.6,56.6
2013-06-12,22:00,31,19,NA,586,26.5,56.6
2013-06-12,23:00,27,17,NA,552,26.4,56.5
2013-06-13,00:00,19,18,NA,462,25.1,59.2
2013-06-13,01:00,16,17,NA,446,24.9,60
2013-06-13,02:00,21,27,NA,471,25.3,58.8
2013-06-13,03:00,13,16,NA,441,24.7,59.5
2013-06-13,04:00,15,16,NA,462,24.9,57.4
2013-06-13,05:00,31,16,NA,519,25.3,55.7
2013-06-13,06:00,47,20,NA,586,25.4,54.9
2013-06-13,07:00,67,35,NA,648,25,55
2013-06-13,08:00,77,35,NA,732,25.3,54.1
2013-06-13,09:00,61,32,NA,661,25.4,52
2013-06-13,10:00,61,31,NA,637,25.4,52.9
2013-06-13,11:00,81,42,NA,675,25.5,51
2013-06-13,12:00,84,44,NA,678,25.4,49.4
2013-06-13,13:00,89,44,NA,772,25.5,50.2
2013-06-13,14:00,89,48,NA,790,25.2,50.7
2013-06-13,15:00,62,41,NA,778,25.1,50.6
2013-06-13,16:00,64,45,NA,823,25.3,49.5
2013-06-13,17:00,39,37,NA,884,25.5,47.9
2013-06-13,18:00,33,34,NA,830,25.5,46.4
2013-06-13,19:00,30,36,NA,754,25.3,44.7
2013-06-13,20:00,29,27,NA,693,25.8,44.3
2013-06-13,21:00,30,24,NA,663,26,43.9
2013-06-13,22:00,28,24,NA,664,25.9,44.3
2013-06-13,23:00,23,25,NA,612,25.6,43.2
2013-06-14,00:00,11,27,NA,503,25,40.1
2013-06-14,01:00,23,33,NA,488,24.6,39.2
2013-06-14,02:00,16,26,NA,483,24.2,40.4
2013-06-14,03:00,7,20,NA,476,23.6,40.8
2013-06-14,04:00,8,22,NA,488,23.4,39.3
2013-06-14,05:00,19,29,NA,528,24.4,38.2
2013-06-14,06:00,87,58,NA,607,24.4,38.5
2013-06-14,07:00,140,84,NA,707,23.6,38.5
2013-06-14,08:00,108,73,NA,766,23.8,35.4
2013-06-14,09:00,80,63,NA,719,24.1,33.7
2013-06-14,10:00,81,63,NA,718,24.1,37.1
2013-06-14,11:00,63,60,NA,761,24.4,37.1
2013-06-14,12:00,35,52,NA,776,24.6,39
2013-06-14,13:00,38,60,NA,782,24.8,38.2
2013-06-14,14:00,NA,NA,NA,797,25.1,38.2
2013-06-14,15:00,31,63,NA,797,25.4,36.8
2013-06-14,16:00,37,67,NA,863,25.6,38.9
2013-06-14,17:00,27,63,NA,866,25.7,36.9
2013-06-14,18:00,21,58,NA,736,25.8,36
2013-06-14,19:00,19,58,NA,680,25.8,35.9
2013-06-14,20:00,10,43,NA,627,26.1,36.3
2013-06-14,21:00,22,51,NA,575,26,36.9
2013-06-14,22:00,18,44,NA,603,26.1,39
2013-06-14,23:00,10,37,NA,564,26.1,39.9
2013-06-15,00:00,24,42,NA,526,25.7,41
2013-06-15,01:00,23,49,NA,429,25.1,41
2013-06-15,02:00,12,38,NA,401,25,41.6
2013-06-15,03:00,6,42,NA,393,24.5,40.4
2013-06-15,04:00,3,31,NA,420,24.1,40.6
2013-06-15,05:00,3,28,NA,452,24.4,39.3
2013-06-15,06:00,6,36,NA,451,24.4,40.2
2013-06-15,07:00,12,47,NA,456,23.5,43.9
2013-06-15,08:00,17,48,NA,500,23.7,45.8
2013-06-15,09:00,14,46,NA,553,24,44.9
2013-06-15,10:00,12,44,NA,587,24.3,42.5
2013-06-15,11:00,17,45,NA,626,24.7,40.9
2013-06-15,12:00,30,53,NA,600,24.8,40.6
2013-06-15,13:00,28,52,NA,725,25.4,35.7
2013-06-15,14:00,38,55,NA,712,25.2,30
2013-06-15,15:00,35,62,NA,753,25.5,31.4
2013-06-15,16:00,31,56,NA,867,25.7,33.8
2013-06-15,17:00,44,63,NA,829,25.8,34
2013-06-15,18:00,31,58,NA,734,25.6,34.1
2013-06-15,19:00,28,61,NA,652,25.5,33.3
2013-06-15,20:00,15,48,NA,606,25.8,33.6
2013-06-15,21:00,10,40,NA,564,26,33.8
2013-06-15,22:00,11,39,NA,560,25.9,34.8
2013-06-15,23:00,10,40,NA,585,25.9,35.6
2013-06-16,00:00,10,42,NA,533,25.6,35.7
2013-06-16,01:00,6,38,NA,422,25.1,35.8
2013-06-16,02:00,9,40,NA,395,24.4,36.6
2013-06-16,03:00,6,34,NA,NA,24.4,36.1
2013-06-16,04:00,3,32,NA,428,24.2,36.5
2013-06-16,05:00,3,25,NA,442,24.4,37
2013-06-16,06:00,7,32,NA,435,24,37.9
2013-06-16,07:00,10,37,NA,434,22.8,40.6
2013-06-16,08:00,8,38,NA,453,23,39.4
2013-06-16,09:00,4,35,NA,492,23.5,37.6
2013-06-16,10:00,7,42,NA,532,24,37.2
2013-06-16,11:00,11,44,NA,544,24.4,36.9
2013-06-16,12:00,5,46,NA,549,24.6,36.2
2013-06-16,13:00,5,44,NA,555,25,34.8
2013-06-16,14:00,5,48,NA,560,25.1,35.3
2013-06-16,15:00,6,51,NA,636,25.4,34.7
2013-06-16,16:00,9,59,NA,652,25.5,34.2
2013-06-16,17:00,9,64,NA,641,25.8,32.7
2013-06-16,18:00,6,56,NA,585,25.8,35.6
2013-06-16,19:00,9,58,NA,555,25.8,37.6
2013-06-16,20:00,6,43,NA,554,26.1,39.1
2013-06-16,21:00,5,36,NA,523,26.3,40
2013-06-16,22:00,5,37,NA,494,26,40.9
2013-06-16,23:00,7,40,NA,474,26,40.7
2013-06-17,00:00,3,31,NA,NA,25.6,42.2
2013-06-17,01:00,2,21,NA,NA,25.4,44
2013-06-17,02:00,3,35,NA,397,25.3,46.4
2013-06-17,03:00,2,18,NA,NA,24.8,45.2
2013-06-17,04:00,2,20,NA,NA,24.6,45
2013-06-17,05:00,7,27,NA,421,24.8,44.7
2013-06-17,06:00,34,42,NA,488,24.8,45.1
2013-06-17,07:00,69,54,NA,593,24.6,48
2013-06-17,08:00,98,60,NA,663,24.6,54.6
2013-06-17,09:00,108,58,NA,577,24.8,56.6
2013-06-17,10:00,76,56,NA,571,24.6,58.4
2013-06-17,11:00,47,49,NA,606,25,58.2
2013-06-17,12:00,24,48,NA,613,25.4,57.5
2013-06-17,13:00,20,55,NA,603,25.9,56.7
2013-06-17,14:00,10,52,NA,609,26.3,56
2013-06-17,15:00,19,61,NA,662,26.7,59.7
2013-06-17,16:00,78,72,NA,804,26.9,63.7
2013-06-17,17:00,120,72,NA,775,27,66.1
2013-06-17,18:00,168,82,NA,719,27,65.4
2013-06-17,19:00,96,74,NA,594,26.6,61.9
2013-06-17,20:00,54,43,NA,515,26.9,58
2013-06-17,21:00,17,38,NA,458,26.9,53.6
2013-06-17,22:00,14,41,NA,447,26.9,50.2
2013-06-17,23:00,11,37,NA,406,26.7,49.7
2013-06-18,00:00,7,40,NA,NA,26.3,52.1
2013-06-18,01:00,6,39,NA,NA,26,53.8
2013-06-18,02:00,5,34,NA,NA,25.8,55
2013-06-18,03:00,6,32,NA,NA,25.9,55.5
2013-06-18,04:00,9,33,NA,NA,25.8,56.2
2013-06-18,05:00,17,34,NA,408,25.8,56.3
2013-06-18,06:00,53,46,NA,502,25.9,56.8
2013-06-18,07:00,122,74,NA,656,25.9,56.7
2013-06-18,08:00,166,99,NA,708,26.2,55.8
2013-06-18,09:00,154,95,NA,665,26.5,55.8
2013-06-18,10:00,112,87,NA,603,26.7,55.7
2013-06-18,11:00,74,82,NA,606,27,54.8
2013-06-18,12:00,50,77,NA,623,27.2,54.7
2013-06-18,13:00,43,84,NA,591,27.4,51.1
2013-06-18,14:00,34,89,NA,653,27.6,51.1
2013-06-18,15:00,26,68,NA,862,28.1,54.2
2013-06-18,16:00,34,72,NA,957,28.1,53.8
2013-06-18,17:00,30,74,NA,945,28.4,52.8
2013-06-18,18:00,21,73,NA,743,28.4,50.1
2013-06-18,19:00,10,64,NA,672,28.4,51.1
2013-06-18,20:00,11,53,NA,503,28.1,51.2
2013-06-18,21:00,13,49,NA,482,28.1,53.5
2013-06-18,22:00,12,43,NA,487,27.9,57.7
2013-06-18,23:00,11,30,NA,440,27.8,58.7
2013-06-19,00:00,5,25,NA,NA,27.1,58
2013-06-19,01:00,5,37,NA,NA,26.7,55.5
2013-06-19,02:00,4,31,NA,NA,26.3,55.1
2013-06-19,03:00,3,23,NA,NA,26.1,55.1
2013-06-19,04:00,6,23,NA,NA,26.2,54.4
2013-06-19,05:00,9,25,NA,400,26.4,54.4
2013-06-19,06:00,24,37,NA,474,26.3,55.8
2013-06-19,07:00,60,52,NA,602,26.3,57.8
2013-06-19,08:00,80,56,NA,612,26.3,58.5
2013-06-19,09:00,60,55,NA,544,26.5,57.6
2013-06-19,10:00,36,51,NA,507,26.4,58.8
2013-06-19,11:00,23,45,NA,592,26.9,59.3
2013-06-19,12:00,20,54,NA,608,27.3,60
2013-06-19,13:00,12,47,NA,619,27.6,59.9
2013-06-19,14:00,11,49,NA,608,27.9,57.7
2013-06-19,15:00,9,51,NA,657,28,56.9
2013-06-19,16:00,30,61,NA,870,28.2,59.9
2013-06-19,17:00,25,49,NA,864,27.9,60.9
2013-06-19,18:00,15,48,NA,713,27.8,57.7
2013-06-19,19:00,18,60,NA,575,27.3,56.2
2013-06-19,20:00,19,46,NA,498,27.8,55
2013-06-19,21:00,18,42,NA,493,27.8,55.3
2013-06-19,22:00,18,39,NA,488,27.8,55
2013-06-19,23:00,17,41,NA,450,27.5,55.7
2013-06-20,00:00,7,33,NA,NA,26.9,58.1
2013-06-20,01:00,8,36,NA,NA,26.5,59.2
2013-06-20,02:00,9,35,NA,NA,26.5,59.2
2013-06-20,03:00,3,30,NA,NA,26.1,59.8
2013-06-20,04:00,7,32,NA,NA,26,60.1
2013-06-20,05:00,12,28,NA,404,26.2,60.2
2013-06-20,06:00,53,40,NA,491,26.3,60
2013-06-20,07:00,69,51,NA,628,26,60.4
2013-06-20,08:00,73,49,NA,654,26.2,59.6
2013-06-20,09:00,61,52,NA,552,26.3,57.7
2013-06-20,10:00,83,61,NA,574,26.4,58.1
2013-06-20,11:00,97,60,NA,639,26.4,61.7
2013-06-20,12:00,79,58,NA,602,26.5,61.1
2013-06-20,13:00,63,64,NA,623,26.8,57.7
2013-06-20,14:00,49,58,NA,650,27,55.3
2013-06-20,15:00,41,66,NA,629,27.1,50.5
2013-06-20,16:00,38,55,NA,832,27.7,50.8
2013-06-20,17:00,48,64,NA,734,27.5,48.7
2013-06-20,18:00,49,66,NA,749,27.5,46.9
2013-06-20,19:00,36,59,NA,660,27.3,48.1
2013-06-20,20:00,37,46,NA,526,27.5,47.5
2013-06-20,21:00,13,36,NA,483,27.3,47.2
2013-06-20,22:00,13,32,NA,500,27.3,48.6
2013-06-20,23:00,12,29,NA,453,27,49.5
2013-06-21,00:00,6,26,NA,NA,26.4,50.5
2013-06-21,01:00,6,30,NA,NA,25.8,52.4
2013-06-21,02:00,52,41,NA,NA,25.7,54.2
2013-06-21,03:00,4,25,NA,NA,25.1,54.3
2013-06-21,04:00,4,22,NA,NA,24.6,54.4
2013-06-21,05:00,8,23,NA,NA,25.5,51.4
2013-06-21,06:00,41,48,NA,466,25.7,49.3
2013-06-21,07:00,69,70,NA,540,25,49
2013-06-21,08:00,75,70,NA,631,25.3,48.5
2013-06-21,09:00,55,54,NA,635,25.8,48.4
2013-06-21,10:00,110,58,NA,576,25.5,48.9
2013-06-21,11:00,70,62,NA,615,26,46.3
2013-06-21,12:00,51,61,NA,604,25.9,45.4
2013-06-21,13:00,34,57,NA,628,26.1,44.2
2013-06-21,14:00,34,54,NA,718,26.4,43.6
2013-06-21,15:00,43,59,NA,740,26.6,44.1
2013-06-21,16:00,54,58,NA,833,26.8,45
2013-06-21,17:00,33,53,NA,806,26.7,44.2
2013-06-21,18:00,24,47,NA,869,27.1,44.9
2013-06-21,19:00,26,48,NA,809,27.2,45.9
2013-06-21,20:00,29,37,NA,697,27.5,46.4
2013-06-21,21:00,15,29,NA,687,27.8,47
2013-06-21,22:00,15,28,NA,720,27.8,48.4
2013-06-21,23:00,13,25,NA,799,28,49.7
2013-06-22,00:00,14,24,NA,738,27.9,48.9
2013-06-22,01:00,12,23,NA,652,27.8,48.3
2013-06-22,02:00,10,21,NA,599,27.6,48.5
2013-06-22,03:00,8,20,NA,495,27.2,48.5
2013-06-22,04:00,8,19,NA,431,27,48
2013-06-22,05:00,7,20,NA,418,26.5,46.4
2013-06-22,06:00,10,33,NA,392,26,42.9
2013-06-22,07:00,11,38,NA,402,24.9,43.4
2013-06-22,08:00,10,40,NA,443,24.9,42.3
2013-06-22,09:00,14,43,NA,504,25.2,42.6
2013-06-22,10:00,15,44,NA,550,25.6,42.8
2013-06-22,11:00,11,39,NA,582,25.7,41.7
2013-06-22,12:00,17,45,NA,588,25.9,43.1
2013-06-22,13:00,15,43,NA,607,25.9,44.1
2013-06-22,14:00,30,47,NA,676,26.1,46.2
2013-06-22,15:00,25,46,NA,679,26.2,47.6
2013-06-22,16:00,26,43,NA,715,26.3,48
2013-06-22,17:00,28,39,NA,735,26.5,48.4
2013-06-22,18:00,29,40,NA,696,26.5,49.3
2013-06-22,19:00,26,42,NA,575,26.1,48.9
2013-06-22,20:00,15,28,NA,528,26.7,48.8
2013-06-22,21:00,11,25,NA,490,26.8,46.5
2013-06-22,22:00,8,25,NA,482,26.8,41.3
2013-06-22,23:00,7,24,NA,482,26.7,40.6
2013-06-23,00:00,6,23,NA,447,26.5,40.7
2013-06-23,01:00,4,23,NA,NA,25.8,39.8
2013-06-23,02:00,3,21,NA,NA,25.3,39.9
2013-06-23,03:00,2,17,NA,NA,25,39.2
2013-06-23,04:00,3,16,NA,NA,24.9,39.3
2013-06-23,05:00,3,12,NA,NA,25.1,40
2013-06-23,06:00,5,18,NA,NA,24.9,39.7
2013-06-23,07:00,5,21,NA,NA,23.9,40.7
2013-06-23,08:00,6,23,NA,431,24.3,40
2013-06-23,09:00,6,25,NA,450,24.3,39.3
2013-06-23,10:00,16,37,NA,493,24.4,40.5
2013-06-23,11:00,8,29,NA,512,24.6,41
2013-06-23,12:00,9,30,NA,545,24.8,40.9
2013-06-23,13:00,12,30,NA,623,25.4,40.8
2013-06-23,14:00,15,31,NA,551,25.2,42.1
2013-06-23,15:00,10,25,NA,533,25.2,42.2
2013-06-23,16:00,20,37,NA,660,25.5,45.4
2013-06-23,17:00,25,40,NA,616,25.3,48
2013-06-23,18:00,24,42,NA,610,25.4,47.4
2013-06-23,19:00,30,44,NA,495,24.8,47.7
2013-06-23,20:00,10,26,NA,453,25.7,43.7
2013-06-23,21:00,7,23,NA,427,25.8,43.1
2013-06-23,22:00,6,21,NA,407,25.7,42.4
2013-06-23,23:00,4,17,NA,NA,25.6,41.2
2013-06-24,00:00,3,13,NA,NA,24.8,42
2013-06-24,01:00,2,9,NA,NA,24.8,41.8
2013-06-24,02:00,2,8,NA,NA,24.4,42.6
2013-06-24,03:00,2,6,NA,NA,24.2,42.7
2013-06-24,04:00,2,11,NA,NA,24.2,42.6
2013-06-24,05:00,6,16,NA,NA,24.6,42.7
2013-06-24,06:00,44,38,NA,424,24.4,43
2013-06-24,07:00,46,39,NA,543,24.4,43.8
2013-06-24,08:00,69,46,NA,571,24.3,43.5
2013-06-24,09:00,62,46,NA,490,24.3,42.4
2013-06-24,10:00,66,50,NA,488,24.2,41.9
2013-06-24,11:00,61,57,NA,526,24.6,38.8
2013-06-24,12:00,53,55,NA,525,24.5,37.1
2013-06-24,13:00,38,55,NA,541,24.7,35.6
2013-06-24,14:00,27,51,NA,589,24.9,34.7
2013-06-24,15:00,18,45,NA,581,24.8,34.2
2013-06-24,16:00,14,42,NA,682,25.3,34.8
2013-06-24,17:00,20,45,NA,724,25.6,35.5
2013-06-24,18:00,13,43,NA,599,25.3,33.3
2013-06-24,19:00,13,45,NA,518,25,30.8
2013-06-24,20:00,4,24,NA,438,25.6,31.9
2013-06-24,21:00,5,26,NA,421,25.7,31.8
2013-06-24,22:00,6,26,NA,426,25.6,32.8
2013-06-24,23:00,6,25,NA,NA,25.5,32.8
2013-06-25,00:00,7,26,NA,NA,24.8,34.1
2013-06-25,01:00,7,24,NA,NA,24.5,35.7
2013-06-25,02:00,2,18,NA,NA,24.3,35.6
2013-06-25,03:00,2,16,NA,NA,24.1,36.2
2013-06-25,04:00,2,22,NA,NA,23.9,36.6
2013-06-25,05:00,7,26,NA,NA,24.5,36.4
2013-06-25,06:00,40,42,NA,425,24.2,38.2
2013-06-25,07:00,90,58,NA,528,23.5,41.5
2013-06-25,08:00,93,58,NA,555,23.8,41.7
2013-06-25,09:00,77,57,NA,473,23.7,41.2
2013-06-25,10:00,56,58,NA,488,23.9,39.8
2013-06-25,11:00,26,49,NA,498,24.4,37.1
2013-06-25,12:00,30,58,NA,508,24.7,32.7
2013-06-25,13:00,16,51,NA,542,25,31.2
2013-06-25,14:00,16,48,NA,593,25.3,31.8
2013-06-25,15:00,15,49,NA,614,25.3,30.5
2013-06-25,16:00,11,42,NA,664,25.4,31.9
2013-06-25,17:00,11,41,NA,724,25.8,32.6
2013-06-25,18:00,10,41,NA,692,25.9,32.6
2013-06-25,19:00,7,39,NA,563,25.7,31.3
2013-06-25,20:00,4,26,NA,472,26.1,31.2
2013-06-25,21:00,4,25,NA,437,26.1,30.7
2013-06-25,22:00,4,25,NA,437,26,30.9
2013-06-25,23:00,5,24,NA,399,25.8,32
2013-06-26,00:00,2,20,NA,NA,24.8,34.7
2013-06-26,01:00,2,28,NA,NA,24.4,35.9
2013-06-26,02:00,2,21,NA,NA,24.2,34.9
2013-06-26,03:00,2,22,NA,NA,24.1,35.7
2013-06-26,04:00,2,22,NA,NA,24.1,35.1
2013-06-26,05:00,13,34,NA,NA,24.5,35.5
2013-06-26,06:00,80,56,NA,421,24.3,36.1
2013-06-26,07:00,90,69,NA,528,23.9,36.8
2013-06-26,08:00,68,68,NA,550,24.2,36.1
2013-06-26,09:00,44,65,NA,501,24.5,35.1
2013-06-26,10:00,29,62,NA,499,24.7,33.8
2013-06-26,11:00,14,51,NA,540,25.1,32.6
2013-06-26,12:00,13,47,NA,581,25.4,32.9
2013-06-26,13:00,16,50,NA,615,25.7,33.2
2013-06-26,14:00,13,52,NA,638,25.8,32.3
2013-06-26,15:00,13,49,NA,640,25.8,32.5
2013-06-26,16:00,12,47,NA,753,26.1,33.3
2013-06-26,17:00,15,51,NA,753,26.4,32.9
2013-06-26,18:00,11,48,NA,682,26.3,33.8
2013-06-26,19:00,8,47,NA,529,25.9,33.7
2013-06-26,20:00,7,35,NA,467,26.3,34.5
2013-06-26,21:00,7,35,NA,431,26.4,34.5
2013-06-26,22:00,7,37,NA,444,26.3,35.4
2013-06-26,23:00,7,34,NA,411,26.3,36.2
2013-06-27,00:00,NA,NA,NA,416,25.7,36.7
2013-06-27,01:00,NA,NA,NA,414,24.4,40.9
2013-06-27,02:00,2,25,NA,NA,24,39.6
2013-06-27,03:00,3,33,NA,410,24.2,37.6
2013-06-27,04:00,4,28,NA,432,24.1,37.5
2013-06-27,05:00,6,29,NA,472,24.7,37.4
2013-06-27,06:00,27,45,NA,531,24.6,40.1
2013-06-27,07:00,70,65,NA,650,24.2,43.1
2013-06-27,08:00,99,71,150,708,24.3,44.1
2013-06-27,09:00,59,62,279,636,24.4,43.4
2013-06-27,10:00,43,59,277,632,24.6,42
2013-06-27,11:00,27,55,148,664,24.8,39.2
2013-06-27,12:00,39,63,135,700,25.1,37
2013-06-27,13:00,21,53,350,725,25.4,37.1
2013-06-27,14:00,16,52,329,735,25.5,36.5
2013-06-27,15:00,16,51,NA,801,25.7,37.4
2013-06-27,16:00,20,54,NA,879,25.9,37.3
2013-06-27,17:00,15,49,NA,966,26.3,37.7
2013-06-27,18:00,18,54,NA,820,26,36.1
2013-06-27,19:00,10,47,NA,711,25.9,35
2013-06-27,20:00,9,35,NA,593,26.2,34.9
2013-06-27,21:00,7,31,NA,559,26.4,34.6
2013-06-27,22:00,7,29,NA,550,26.3,35
2013-06-27,23:00,6,28,NA,530,26.1,36.5
2013-06-28,00:00,5,22,NA,432,25.5,37.4
2013-06-28,01:00,4,21,95,408,25.3,38.4
2013-06-28,02:00,4,23,42,401,25.2,40.5
2013-06-28,03:00,5,26,21,398,24.6,43.1
2013-06-28,04:00,4,24,23,411,24.3,45.2
2013-06-28,05:00,5,26,91,444,24.7,43.7
2013-06-28,06:00,26,52,112,516,24.5,45.2
2013-06-28,07:00,65,69,125,663,24.1,48.5
2013-06-28,08:00,81,68,174,705,24.2,48.6
2013-06-28,09:00,69,65,124,632,24.2,47.6
2013-06-28,10:00,59,62,117,652,24.4,47.7
2013-06-28,11:00,58,60,149,676,24.5,47.7
2013-06-28,12:00,62,62,118,669,24.6,47
2013-06-28,13:00,63,55,137,736,25.1,47
2013-06-28,14:00,62,57,131,770,25.1,47.6
2013-06-28,15:00,73,55,128,867,25.4,49.4
2013-06-28,16:00,69,51,132,920,25.5,49.8
2013-06-28,17:00,59,48,131,893,25.5,48.7
2013-06-28,18:00,41,45,140,869,25.7,49.1
2013-06-28,19:00,50,51,119,761,25.5,49.5
2013-06-28,20:00,30,36,123,649,26,48.5
2013-06-28,21:00,27,34,121,625,26.1,48.7
2013-06-28,22:00,20,30,101,571,26.1,49.1
2013-06-28,23:00,22,30,113,569,26.1,50.8
2013-06-29,00:00,15,24,84,480,25.9,50.1
2013-06-29,01:00,8,21,53,420,25.5,48.2
2013-06-29,02:00,6,19,14,406,25.4,47.1
2013-06-29,03:00,6,18,9,403,25.2,47.2
2013-06-29,04:00,8,20,16,423,24.8,49.8
2013-06-29,05:00,9,19,77,442,25,49.3
2013-06-29,06:00,19,24,97,457,24.8,49.8
2013-06-29,07:00,35,31,65,484,24.1,52.5
2013-06-29,08:00,47,33,74,551,24.3,53.7
2013-06-29,09:00,46,32,82,612,24.5,53.7
2013-06-29,10:00,44,31,104,661,24.7,53.2
2013-06-29,11:00,30,32,112,686,25,51.2
2013-06-29,12:00,19,35,126,669,25.2,47.1
2013-06-29,13:00,14,34,142,776,25.6,45.1
2013-06-29,14:00,16,38,134,852,25.9,42.8
2013-06-29,15:00,14,39,145,869,26.3,41.1
2013-06-29,16:00,10,34,149,987,26.6,38.6
2013-06-29,17:00,13,38,151,899,26.5,37.8
2013-06-29,18:00,14,39,150,827,26.5,37.6
2013-06-29,19:00,13,40,139,788,26.4,37.4
2013-06-29,20:00,10,31,143,625,26.5,36.5
2013-06-29,21:00,8,29,126,570,26.6,36
2013-06-29,22:00,8,30,122,555,26.4,36
2013-06-29,23:00,7,28,114,562,26.4,36.2
2013-06-30,00:00,7,29,116,520,26.2,36.4
2013-06-30,01:00,5,26,77,409,25.8,36.6
2013-06-30,02:00,5,26,15,NA,25.5,37.1
2013-06-30,03:00,4,25,10,NA,25.2,37.8
2013-06-30,04:00,7,33,21,407,25.1,38.6
2013-06-30,05:00,11,35,70,437,25.3,38.8
2013-06-30,06:00,13,41,76,444,24.9,39.4
2013-06-30,07:00,10,48,60,472,24.3,39.8
2013-06-30,08:00,13,50,71,505,24.5,39.6
2013-06-30,09:00,9,46,66,519,24.6,38.8
2013-06-30,10:00,10,46,72,569,24.9,41.2
2013-06-30,11:00,11,45,96,614,25.4,41.6
2013-06-30,12:00,10,45,107,645,25.7,41.8
2013-06-30,13:00,11,47,103,654,25.9,41.1
2013-06-30,14:00,12,50,102,659,26.1,41
2013-06-30,15:00,15,53,114,712,26.3,41.7
2013-06-30,16:00,25,60,116,731,26.5,42.5
2013-06-30,17:00,25,57,114,765,26.6,43.3
2013-06-30,18:00,23,45,124,778,26.7,44
2013-06-30,19:00,25,51,129,704,26.8,43.1
2013-06-30,20:00,15,31,97,612,26.9,44.7
2013-06-30,21:00,13,27,135,574,26.9,47.1
2013-06-30,22:00,14,28,114,558,26.9,48.2
2013-06-30,23:00,13,30,97,508,26.5,49
2013-07-01,00:00,11,31,69,440,26,50.6
2013-07-01,01:00,19,35,39,443,26,50.6
2013-07-01,02:00,19,32,25,433,26.7,48.4
2013-07-01,03:00,10,28,17,433,25.8,51.5
2013-07-01,04:00,15,29,21,449,25.6,51.1
2013-07-01,05:00,27,30,82,494,25.5,51.1
2013-07-01,06:00,44,33,112,562,25.5,52
2013-07-01,07:00,54,36,123,705,25.4,51.8
2013-07-01,08:00,56,35,146,774,25.5,51
2013-07-01,09:00,66,38,146,659,25.6,49.2
2013-07-01,10:00,70,46,135,663,25.5,49.2
2013-07-01,11:00,69,55,122,698,25.8,49.2
2013-07-01,12:00,58,56,130,736,26.2,49.2
2013-07-01,13:00,51,54,150,721,26.3,50
2013-07-01,14:00,36,49,162,767,26.6,49.6
2013-07-01,15:00,37,51,169,795,26.7,49.6
2013-07-01,16:00,37,55,147,872,26.8,49.8
2013-07-01,17:00,34,52,141,885,27,49.3
2013-07-01,18:00,46,57,149,774,27.1,48.6
2013-07-01,19:00,35,56,133,674,27,47.3
2013-07-01,20:00,16,33,139,575,27.1,48
2013-07-01,21:00,16,31,117,549,27.2,47.5
2013-07-01,22:00,12,27,112,515,27,46.8
2013-07-01,23:00,11,27,105,490,26.7,44.9
2013-07-02,00:00,9,26,63,424,26.3,44.7
2013-07-02,01:00,8,29,26,422,25.9,45.1
2013-07-02,02:00,8,27,52,422,26,44.9
2013-07-02,03:00,9,28,45,419,25.9,44.8
2013-07-02,04:00,11,28,37,432,25.7,45.3
2013-07-02,05:00,13,28,86,475,25.9,45
2013-07-02,06:00,52,37,126,575,25.9,46
2013-07-02,07:00,89,55,182,708,25.7,47.3
2013-07-02,08:00,95,56,295,791,26,47.7
2013-07-02,09:00,86,58,217,665,26.2,45.9
2013-07-02,10:00,71,55,271,678,26.6,46
2013-07-02,11:00,46,58,173,700,26.9,47.6
2013-07-02,12:00,45,62,198,734,27.2,48.6
2013-07-02,13:00,39,65,301,740,27.3,47.8
2013-07-02,14:00,35,63,259,788,27.6,48.4
2013-07-02,15:00,43,69,200,795,27.7,48.5
2013-07-02,16:00,41,66,169,872,27.8,48.7
2013-07-02,17:00,33,58,186,944,28.1,48.1
2013-07-02,18:00,27,56,176,868,28,47.5
2013-07-02,19:00,26,53,165,744,28,48.3
2013-07-02,20:00,19,42,145,604,28,47.3
2013-07-02,21:00,16,42,98,568,27.8,47
2013-07-02,22:00,13,36,117,552,27.7,47.7
2013-07-02,23:00,10,29,117,515,27.4,48.6
