id "score" "gender" "courses"
"810" 32 "Female" "calc"
"811" 28 "Female" "calc"
"812" 16 "Female" "calc"
"813" 21 "Female" "calc"
"814" 27 "Female" "calc"
"815" 34 "Female" "calc"
"816" 28 "Female" "calc"
"817" 22 "Female" "calc"
"818" 23 "Female" "calc"
"819" 30 "Female" "calc"
"820" 32 "Female" "calc"
"821" 21 "Female" "calc"
"822" 27 "Female" "calc"
"823" 33 "Female" "calc"
"824" 32 "Female" "calc"
"825" 21 "Female" "calc"
"826" 29 "Female" "calc"
"827" 31 "Female" "calc"
"828" 22 "Female" "calc"
"829" 25 "Female" "calc"
"830" 24 "Female" "calc"
"831" 29 "Female" "calc"
"832" 29 "Female" "calc"
"833" 24 "Female" "calc"
"834" 27 "Female" "calc"
"835" 18 "Female" "calc"
"836" 17 "Female" "calc"
"837" 26 "Female" "calc"
"838" 28 "Female" "calc"
"839" 25 "Female" "calc"
"840" 29 "Female" "calc"
"841" 18 "Female" "calc"
"842" 27 "Female" "calc"
"843" 27 "Female" "calc"
"844" 22 "Female" "calc"
"845" 25 "Female" "calc"
"846" 24 "Female" "calc"
"847" 30 "Female" "calc"
"848" 15 "Female" "calc"
"849" 18 "Female" "calc"
"850" 26 "Female" "calc"
"851" 23 "Female" "calc"
"852" 24 "Female" "calc"
"853" 19 "Female" "calc"
"854" 25 "Female" "calc"
"855" 21 "Female" "calc"
"856" 19 "Female" "calc"
"857" 18 "Female" "calc"
"858" 22 "Female" "calc"
"859" 31 "Female" "calc"
"860" 27 "Female" "calc"
"861" 17 "Female" "calc"
