id "class" "age" "sex" "vote"
"641" "working" "51-75" "male" "labour"
"642" "working" "51-75" "male" "labour"
"643" "working" "51-75" "male" "labour"
"644" "working" "51-75" "male" "labour"
"645" "working" "51-75" "male" "labour"
"646" "working" "51-75" "male" "labour"
"647" "working" "51-75" "female" "conservative"
"648" "working" "51-75" "female" "conservative"
"649" "working" "51-75" "female" "conservative"
"650" "working" "51-75" "female" "conservative"
"651" "working" "51-75" "female" "conservative"
"652" "working" "51-75" "female" "conservative"
"653" "working" "51-75" "female" "conservative"
"654" "working" "51-75" "female" "conservative"
"655" "working" "51-75" "female" "conservative"
"656" "working" "51-75" "female" "conservative"
"657" "working" "51-75" "female" "conservative"
"658" "working" "51-75" "female" "conservative"
"659" "working" "51-75" "female" "conservative"
"660" "working" "51-75" "female" "conservative"
"661" "working" "51-75" "female" "conservative"
"662" "working" "51-75" "female" "conservative"
"663" "working" "51-75" "female" "conservative"
"664" "working" "51-75" "female" "conservative"
"665" "working" "51-75" "female" "conservative"
"666" "working" "51-75" "female" "conservative"
"667" "working" "51-75" "female" "conservative"
"668" "working" "51-75" "female" "conservative"
"669" "working" "51-75" "female" "conservative"
"670" "working" "51-75" "female" "conservative"
"671" "working" "51-75" "female" "conservative"
"672" "working" "51-75" "female" "conservative"
"673" "working" "51-75" "female" "conservative"
"674" "working" "51-75" "female" "conservative"
"675" "working" "51-75" "female" "conservative"
"676" "working" "51-75" "female" "conservative"
"677" "working" "51-75" "female" "conservative"
"678" "working" "51-75" "female" "conservative"
"679" "working" "51-75" "female" "conservative"
"680" "working" "51-75" "female" "conservative"
"681" "working" "51-75" "female" "conservative"
"682" "working" "51-75" "female" "conservative"
"683" "working" "51-75" "female" "conservative"
"684" "working" "51-75" "female" "conservative"
"685" "working" "51-75" "female" "conservative"
"686" "working" "51-75" "female" "conservative"
"687" "working" "51-75" "female" "conservative"
"688" "working" "51-75" "female" "conservative"
"689" "working" "51-75" "female" "conservative"
"690" "working" "51-75" "female" "conservative"
"691" "working" "51-75" "female" "conservative"
"692" "working" "51-75" "female" "conservative"
"693" "working" "51-75" "female" "conservative"
"694" "working" "51-75" "female" "conservative"
"695" "working" "51-75" "female" "conservative"
"696" "working" "51-75" "female" "conservative"
"697" "working" "51-75" "female" "conservative"
"698" "working" "51-75" "female" "conservative"
"699" "working" "51-75" "female" "labour"
"700" "working" "51-75" "female" "labour"
"701" "working" "51-75" "female" "labour"
"702" "working" "51-75" "female" "labour"
"703" "working" "51-75" "female" "labour"
"704" "working" "51-75" "female" "labour"
"705" "working" "51-75" "female" "labour"
"706" "working" "51-75" "female" "labour"
"707" "working" "51-75" "female" "labour"
"708" "working" "51-75" "female" "labour"
"709" "working" "51-75" "female" "labour"
"710" "working" "51-75" "female" "labour"
"711" "working" "51-75" "female" "labour"
"712" "working" "51-75" "female" "labour"
"713" "working" "51-75" "female" "labour"
"714" "working" "51-75" "female" "labour"
"715" "working" "51-75" "female" "labour"
"716" "working" "51-75" "female" "labour"
"717" "working" "51-75" "female" "labour"
"718" "working" "51-75" "female" "labour"
"719" "working" "51-75" "female" "labour"
"720" "working" "51-75" "female" "labour"
"721" "working" "51-75" "female" "labour"
"722" "working" "51-75" "female" "labour"
"723" "working" "51-75" "female" "labour"
"724" "working" "51-75" "female" "labour"
"725" "working" "51-75" "female" "labour"
"726" "working" "51-75" "female" "labour"
"727" "working" "51-75" "female" "labour"
"728" "working" "51-75" "female" "labour"
"729" "working" "51-75" "female" "labour"
"730" "working" "51-75" "female" "labour"
"731" "working" "51-75" "female" "labour"
"732" "working" "51-75" "female" "labour"
"733" "working" "51-75" "female" "labour"
"734" "working" "51-75" "female" "labour"
"735" "working" "51-75" "female" "labour"
"736" "working" "51-75" "female" "labour"
"737" "working" "51-75" "female" "labour"
"738" "working" "51-75" "female" "labour"
"739" "working" "51-75" "female" "labour"
"740" "working" "51-75" "female" "labour"
"741" "working" "51-75" "female" "labour"
"742" "working" "51-75" "female" "labour"
"743" "working" "51-75" "female" "labour"
"744" "working" "51-75" "female" "labour"
"745" "working" "51-75" "female" "labour"
"746" "working" "51-75" "female" "labour"
"747" "working" "51-75" "female" "labour"
"748" "working" "51-75" "female" "labour"
"749" "working" "51-75" "female" "labour"
"750" "working" "51-75" "female" "labour"
"751" "working" "51-75" "female" "labour"
"752" "working" "41-50" "male" "conservative"
"753" "working" "41-50" "male" "conservative"
"754" "working" "41-50" "male" "conservative"
"755" "working" "41-50" "male" "conservative"
"756" "working" "41-50" "male" "conservative"
"757" "working" "41-50" "male" "conservative"
"758" "working" "41-50" "male" "conservative"
"759" "working" "41-50" "male" "conservative"
"760" "working" "41-50" "male" "conservative"
"761" "working" "41-50" "male" "conservative"
"762" "working" "41-50" "male" "conservative"
"763" "working" "41-50" "male" "conservative"
"764" "working" "41-50" "male" "conservative"
"765" "working" "41-50" "male" "conservative"
"766" "working" "41-50" "male" "conservative"
"767" "working" "41-50" "male" "conservative"
"768" "working" "41-50" "male" "conservative"
"769" "working" "41-50" "male" "conservative"
"770" "working" "41-50" "male" "conservative"
"771" "working" "41-50" "male" "conservative"
"772" "working" "41-50" "male" "conservative"
"773" "working" "41-50" "male" "conservative"
"774" "working" "41-50" "male" "conservative"
"775" "working" "41-50" "male" "conservative"
"776" "working" "41-50" "male" "conservative"
"777" "working" "41-50" "male" "conservative"
"778" "working" "41-50" "male" "conservative"
"779" "working" "41-50" "male" "conservative"
"780" "working" "41-50" "male" "conservative"
"781" "working" "41-50" "male" "labour"
"782" "working" "41-50" "male" "labour"
"783" "working" "41-50" "male" "labour"
"784" "working" "41-50" "male" "labour"
"785" "working" "41-50" "male" "labour"
"786" "working" "41-50" "male" "labour"
"787" "working" "41-50" "male" "labour"
"788" "working" "41-50" "male" "labour"
"789" "working" "41-50" "male" "labour"
"790" "working" "41-50" "male" "labour"
"791" "working" "41-50" "male" "labour"
"792" "working" "41-50" "male" "labour"
"793" "working" "41-50" "male" "labour"
"794" "working" "41-50" "male" "labour"
"795" "working" "41-50" "male" "labour"
"796" "working" "41-50" "male" "labour"
"797" "working" "41-50" "male" "labour"
"798" "working" "41-50" "male" "labour"
"799" "working" "41-50" "male" "labour"
"800" "working" "41-50" "male" "labour"
"801" "working" "41-50" "male" "labour"
"802" "working" "41-50" "male" "labour"
"803" "working" "41-50" "male" "labour"
"804" "working" "41-50" "male" "labour"
"805" "working" "41-50" "male" "labour"
"806" "working" "41-50" "male" "labour"
"807" "working" "41-50" "male" "labour"
"808" "working" "41-50" "male" "labour"
"809" "working" "41-50" "male" "labour"
"810" "working" "41-50" "male" "labour"
"811" "working" "41-50" "male" "labour"
"812" "working" "41-50" "male" "labour"
"813" "working" "41-50" "male" "labour"
"814" "working" "41-50" "male" "labour"
"815" "working" "41-50" "male" "labour"
"816" "working" "41-50" "male" "labour"
"817" "working" "41-50" "male" "labour"
"818" "working" "41-50" "male" "labour"
"819" "working" "41-50" "male" "labour"
"820" "working" "41-50" "male" "labour"
"821" "working" "41-50" "male" "labour"
"822" "working" "41-50" "male" "labour"
"823" "working" "41-50" "male" "labour"
"824" "working" "41-50" "male" "labour"
"825" "working" "41-50" "male" "labour"
"826" "working" "41-50" "male" "labour"
"827" "working" "41-50" "male" "labour"
"828" "working" "41-50" "male" "labour"
"829" "working" "41-50" "male" "labour"
"830" "working" "41-50" "male" "labour"
"831" "working" "41-50" "male" "labour"
"832" "working" "41-50" "male" "labour"
"833" "working" "41-50" "male" "labour"
"834" "working" "41-50" "male" "labour"
"835" "working" "41-50" "male" "labour"
"836" "working" "41-50" "male" "labour"
"837" "working" "41-50" "male" "labour"
"838" "working" "41-50" "male" "labour"
"839" "working" "41-50" "male" "labour"
"840" "working" "41-50" "male" "labour"
"841" "working" "41-50" "male" "labour"
"842" "working" "41-50" "male" "labour"
"843" "working" "41-50" "male" "labour"
"844" "working" "41-50" "male" "labour"
"845" "working" "41-50" "male" "labour"
"846" "working" "41-50" "male" "labour"
"847" "working" "41-50" "male" "labour"
"848" "working" "41-50" "male" "labour"
"849" "working" "41-50" "male" "labour"
"850" "working" "41-50" "male" "labour"
"851" "working" "41-50" "male" "labour"
"852" "working" "41-50" "male" "labour"
"853" "working" "41-50" "male" "labour"
"854" "working" "41-50" "male" "labour"
"855" "working" "41-50" "male" "labour"
"856" "working" "41-50" "female" "conservative"
"857" "working" "41-50" "female" "conservative"
"858" "working" "41-50" "female" "conservative"
"859" "working" "41-50" "female" "conservative"
"860" "working" "41-50" "female" "conservative"
"861" "working" "41-50" "female" "conservative"
"862" "working" "41-50" "female" "conservative"
"863" "working" "41-50" "female" "conservative"
"864" "working" "41-50" "female" "conservative"
"865" "working" "41-50" "female" "conservative"
"866" "working" "41-50" "female" "conservative"
"867" "working" "41-50" "female" "conservative"
"868" "working" "41-50" "female" "conservative"
"869" "working" "41-50" "female" "conservative"
"870" "working" "41-50" "female" "conservative"
"871" "working" "41-50" "female" "conservative"
"872" "working" "41-50" "female" "conservative"
"873" "working" "41-50" "female" "conservative"
"874" "working" "41-50" "female" "conservative"
"875" "working" "41-50" "female" "conservative"
"876" "working" "41-50" "female" "conservative"
"877" "working" "41-50" "female" "conservative"
"878" "working" "41-50" "female" "conservative"
"879" "working" "41-50" "female" "conservative"
"880" "working" "41-50" "female" "conservative"
"881" "working" "41-50" "female" "conservative"
"882" "working" "41-50" "female" "conservative"
"883" "working" "41-50" "female" "conservative"
"884" "working" "41-50" "female" "conservative"
"885" "working" "41-50" "female" "conservative"
"886" "working" "41-50" "female" "conservative"
"887" "working" "41-50" "female" "conservative"
"888" "working" "41-50" "female" "labour"
"889" "working" "41-50" "female" "labour"
"890" "working" "41-50" "female" "labour"
"891" "working" "41-50" "female" "labour"
"892" "working" "41-50" "female" "labour"
"893" "working" "41-50" "female" "labour"
"894" "working" "41-50" "female" "labour"
"895" "working" "41-50" "female" "labour"
"896" "working" "41-50" "female" "labour"
"897" "working" "41-50" "female" "labour"
"898" "working" "41-50" "female" "labour"
"899" "working" "41-50" "female" "labour"
"900" "working" "41-50" "female" "labour"
"901" "working" "41-50" "female" "labour"
"902" "working" "41-50" "female" "labour"
"903" "working" "41-50" "female" "labour"
"904" "working" "41-50" "female" "labour"
"905" "working" "41-50" "female" "labour"
"906" "working" "41-50" "female" "labour"
"907" "working" "41-50" "female" "labour"
"908" "working" "41-50" "female" "labour"
"909" "working" "41-50" "female" "labour"
"910" "working" "41-50" "female" "labour"
"911" "working" "41-50" "female" "labour"
"912" "working" "41-50" "female" "labour"
"913" "working" "41-50" "female" "labour"
"914" "working" "41-50" "female" "labour"
"915" "working" "41-50" "female" "labour"
"916" "working" "41-50" "female" "labour"
"917" "working" "41-50" "female" "labour"
"918" "working" "41-50" "female" "labour"
"919" "working" "41-50" "female" "labour"
"920" "working" "41-50" "female" "labour"
"921" "working" "41-50" "female" "labour"
"922" "working" "41-50" "female" "labour"
"923" "working" "41-50" "female" "labour"
"924" "working" "41-50" "female" "labour"
"925" "working" "41-50" "female" "labour"
"926" "working" "41-50" "female" "labour"
"927" "working" "41-50" "female" "labour"
"928" "working" "41-50" "female" "labour"
"929" "working" "41-50" "female" "labour"
"930" "working" "41-50" "female" "labour"
"931" "working" "41-50" "female" "labour"
"932" "working" "41-50" "female" "labour"
"933" "working" "41-50" "female" "labour"
"934" "working" "41-50" "female" "labour"
"935" "working" "41-50" "female" "labour"
"936" "working" "41-50" "female" "labour"
"937" "working" "41-50" "female" "labour"
"938" "working" "41-50" "female" "labour"
"939" "working" "41-50" "female" "labour"
"940" "working" "41-50" "female" "labour"
"941" "working" "41-50" "female" "labour"
"942" "working" "41-50" "female" "labour"
"943" "working" "41-50" "female" "labour"
"944" "working" "41-50" "female" "labour"
"945" "working" "41-50" "female" "labour"
"946" "working" "41-50" "female" "labour"
"947" "working" "41-50" "female" "labour"
"948" "working" "41-50" "female" "labour"
"949" "working" "41-50" "female" "labour"
"950" "working" "41-50" "female" "labour"
"951" "working" "41-50" "female" "labour"
"952" "working" "41-50" "female" "labour"
"953" "working" "41-50" "female" "labour"
"954" "working" "41-50" "female" "labour"
"955" "working" "41-50" "female" "labour"
"956" "working" "41-50" "female" "labour"
"957" "working" "41-50" "female" "labour"
"958" "working" "26-40" "male" "conservative"
"959" "working" "26-40" "male" "conservative"
"960" "working" "26-40" "male" "conservative"
"961" "working" "26-40" "male" "conservative"
"962" "working" "26-40" "male" "conservative"
"963" "working" "26-40" "male" "conservative"
"964" "working" "26-40" "male" "conservative"
"965" "working" "26-40" "male" "conservative"
"966" "working" "26-40" "male" "conservative"
"967" "working" "26-40" "male" "conservative"
"968" "working" "26-40" "male" "conservative"
"969" "working" "26-40" "male" "conservative"
"970" "working" "26-40" "male" "conservative"
"971" "working" "26-40" "male" "conservative"
"972" "working" "26-40" "male" "conservative"
"973" "working" "26-40" "male" "conservative"
"974" "working" "26-40" "male" "conservative"
"975" "working" "26-40" "male" "conservative"
"976" "working" "26-40" "male" "conservative"
"977" "working" "26-40" "male" "conservative"
"978" "working" "26-40" "male" "conservative"
"979" "working" "26-40" "male" "conservative"
"980" "working" "26-40" "male" "conservative"
"981" "working" "26-40" "male" "conservative"
"982" "working" "26-40" "male" "conservative"
"983" "working" "26-40" "male" "conservative"
"984" "working" "26-40" "male" "conservative"
"985" "working" "26-40" "male" "conservative"
"986" "working" "26-40" "male" "conservative"
"987" "working" "26-40" "male" "conservative"
"988" "working" "26-40" "male" "conservative"
"989" "working" "26-40" "male" "conservative"
"990" "working" "26-40" "male" "labour"
"991" "working" "26-40" "male" "labour"
"992" "working" "26-40" "male" "labour"
"993" "working" "26-40" "male" "labour"
"994" "working" "26-40" "male" "labour"
"995" "working" "26-40" "male" "labour"
"996" "working" "26-40" "male" "labour"
"997" "working" "26-40" "male" "labour"
"998" "working" "26-40" "male" "labour"
"999" "working" "26-40" "male" "labour"
"1000" "working" "26-40" "male" "labour"
"1001" "working" "26-40" "male" "labour"
"1002" "working" "26-40" "male" "labour"
"1003" "working" "26-40" "male" "labour"
"1004" "working" "26-40" "male" "labour"
"1005" "working" "26-40" "male" "labour"
"1006" "working" "26-40" "male" "labour"
"1007" "working" "26-40" "male" "labour"
"1008" "working" "26-40" "male" "labour"
"1009" "working" "26-40" "male" "labour"
"1010" "working" "26-40" "male" "labour"
"1011" "working" "26-40" "male" "labour"
"1012" "working" "26-40" "male" "labour"
"1013" "working" "26-40" "male" "labour"
"1014" "working" "26-40" "male" "labour"
"1015" "working" "26-40" "male" "labour"
"1016" "working" "26-40" "male" "labour"
"1017" "working" "26-40" "male" "labour"
"1018" "working" "26-40" "male" "labour"
"1019" "working" "26-40" "male" "labour"
"1020" "working" "26-40" "male" "labour"
"1021" "working" "26-40" "male" "labour"
"1022" "working" "26-40" "male" "labour"
"1023" "working" "26-40" "male" "labour"
"1024" "working" "26-40" "male" "labour"
"1025" "working" "26-40" "male" "labour"
"1026" "working" "26-40" "male" "labour"
"1027" "working" "26-40" "male" "labour"
"1028" "working" "26-40" "male" "labour"
"1029" "working" "26-40" "male" "labour"
"1030" "working" "26-40" "male" "labour"
"1031" "working" "26-40" "male" "labour"
"1032" "working" "26-40" "male" "labour"
"1033" "working" "26-40" "male" "labour"
"1034" "working" "26-40" "male" "labour"
"1035" "working" "26-40" "male" "labour"
"1036" "working" "26-40" "male" "labour"
"1037" "working" "26-40" "male" "labour"
"1038" "working" "26-40" "male" "labour"
"1039" "working" "26-40" "male" "labour"
"1040" "working" "26-40" "male" "labour"
"1041" "working" "26-40" "male" "labour"
"1042" "working" "26-40" "male" "labour"
"1043" "working" "26-40" "male" "labour"
"1044" "working" "26-40" "male" "labour"
"1045" "working" "26-40" "male" "labour"
"1046" "working" "26-40" "male" "labour"
"1047" "working" "26-40" "male" "labour"
"1048" "working" "26-40" "male" "labour"
"1049" "working" "26-40" "male" "labour"
"1050" "working" "26-40" "male" "labour"
"1051" "working" "26-40" "male" "labour"
"1052" "working" "26-40" "male" "labour"
"1053" "working" "26-40" "male" "labour"
"1054" "working" "26-40" "male" "labour"
"1055" "working" "26-40" "male" "labour"
"1056" "working" "26-40" "female" "conservative"
"1057" "working" "26-40" "female" "conservative"
"1058" "working" "26-40" "female" "conservative"
"1059" "working" "26-40" "female" "conservative"
"1060" "working" "26-40" "female" "conservative"
"1061" "working" "26-40" "female" "conservative"
"1062" "working" "26-40" "female" "conservative"
"1063" "working" "26-40" "female" "conservative"
"1064" "working" "26-40" "female" "conservative"
"1065" "working" "26-40" "female" "conservative"
"1066" "working" "26-40" "female" "conservative"
"1067" "working" "26-40" "female" "conservative"
"1068" "working" "26-40" "female" "conservative"
"1069" "working" "26-40" "female" "conservative"
"1070" "working" "26-40" "female" "conservative"
"1071" "working" "26-40" "female" "conservative"
"1072" "working" "26-40" "female" "conservative"
"1073" "working" "26-40" "female" "conservative"
"1074" "working" "26-40" "female" "conservative"
"1075" "working" "26-40" "female" "conservative"
"1076" "working" "26-40" "female" "conservative"
"1077" "working" "26-40" "female" "conservative"
"1078" "working" "26-40" "female" "conservative"
"1079" "working" "26-40" "female" "conservative"
"1080" "working" "26-40" "female" "conservative"
"1081" "working" "26-40" "female" "conservative"
"1082" "working" "26-40" "female" "conservative"
"1083" "working" "26-40" "female" "conservative"
"1084" "working" "26-40" "female" "conservative"
"1085" "working" "26-40" "female" "conservative"
"1086" "working" "26-40" "female" "conservative"
"1087" "working" "26-40" "female" "conservative"
"1088" "working" "26-40" "female" "conservative"
"1089" "working" "26-40" "female" "conservative"
"1090" "working" "26-40" "female" "conservative"
"1091" "working" "26-40" "female" "conservative"
"1092" "working" "26-40" "female" "labour"
"1093" "working" "26-40" "female" "labour"
"1094" "working" "26-40" "female" "labour"
"1095" "working" "26-40" "female" "labour"
"1096" "working" "26-40" "female" "labour"
"1097" "working" "26-40" "female" "labour"
"1098" "working" "26-40" "female" "labour"
"1099" "working" "26-40" "female" "labour"
"1100" "working" "26-40" "female" "labour"
"1101" "working" "26-40" "female" "labour"
"1102" "working" "26-40" "female" "labour"
"1103" "working" "26-40" "female" "labour"
"1104" "working" "26-40" "female" "labour"
"1105" "working" "26-40" "female" "labour"
"1106" "working" "26-40" "female" "labour"
"1107" "working" "26-40" "female" "labour"
"1108" "working" "26-40" "female" "labour"
"1109" "working" "26-40" "female" "labour"
"1110" "working" "26-40" "female" "labour"
"1111" "working" "26-40" "female" "labour"
"1112" "working" "26-40" "female" "labour"
"1113" "working" "26-40" "female" "labour"
"1114" "working" "26-40" "female" "labour"
"1115" "working" "26-40" "female" "labour"
"1116" "working" "26-40" "female" "labour"
"1117" "working" "26-40" "female" "labour"
"1118" "working" "26-40" "female" "labour"
"1119" "working" "26-40" "female" "labour"
"1120" "working" "26-40" "female" "labour"
"1121" "working" "26-40" "female" "labour"
"1122" "working" "26-40" "female" "labour"
"1123" "working" "26-40" "female" "labour"
"1124" "working" "26-40" "female" "labour"
"1125" "working" "26-40" "female" "labour"
"1126" "working" "26-40" "female" "labour"
"1127" "working" "26-40" "female" "labour"
"1128" "working" "26-40" "female" "labour"
"1129" "working" "26-40" "female" "labour"
"1130" "working" "26-40" "female" "labour"
"1131" "working" "26-40" "female" "labour"
"1132" "working" "26-40" "female" "labour"
"1133" "working" "26-40" "female" "labour"
"1134" "working" "26-40" "female" "labour"
"1135" "working" "26-40" "female" "labour"
"1136" "working" "26-40" "female" "labour"
"1137" "working" "26-40" "female" "labour"
"1138" "working" "26-40" "female" "labour"
"1139" "working" "26-40" "female" "labour"
"1140" "working" "26-40" "female" "labour"
"1141" "working" "26-40" "female" "labour"
"1142" "working" "26-40" "female" "labour"
"1143" "working" "26-40" "female" "labour"
"1144" "working" "26-40" "female" "labour"
"1145" "working" "26-40" "female" "labour"
"1146" "working" "26-40" "female" "labour"
"1147" "working" "26-40" "female" "labour"
"1148" "working" "26-40" "female" "labour"
"1149" "working" "26-40" "female" "labour"
"1150" "working" "26-40" "female" "labour"
"1151" "working" "26-40" "female" "labour"
"1152" "working" "26-40" "female" "labour"
"1153" "working" "26-40" "female" "labour"
"1154" "working" "26-40" "female" "labour"
"1155" "working" "26-40" "female" "labour"
"1156" "working" "26-40" "female" "labour"
"1157" "working" "26-40" "female" "labour"
"1158" "working" "26-40" "female" "labour"
"1159" "working" "<26" "male" "conservative"
"1160" "working" "<26" "male" "conservative"
"1161" "working" "<26" "male" "conservative"
"1162" "working" "<26" "male" "conservative"
"1163" "working" "<26" "male" "conservative"
"1164" "working" "<26" "male" "conservative"
"1165" "working" "<26" "male" "conservative"
"1166" "working" "<26" "male" "conservative"
"1167" "working" "<26" "male" "conservative"
"1168" "working" "<26" "male" "conservative"
"1169" "working" "<26" "male" "conservative"
"1170" "working" "<26" "male" "conservative"
"1171" "working" "<26" "male" "conservative"
"1172" "working" "<26" "male" "conservative"
"1173" "working" "<26" "male" "labour"
"1174" "working" "<26" "male" "labour"
"1175" "working" "<26" "male" "labour"
"1176" "working" "<26" "male" "labour"
"1177" "working" "<26" "male" "labour"
"1178" "working" "<26" "male" "labour"
"1179" "working" "<26" "male" "labour"
"1180" "working" "<26" "male" "labour"
"1181" "working" "<26" "male" "labour"
"1182" "working" "<26" "male" "labour"
"1183" "working" "<26" "male" "labour"
"1184" "working" "<26" "male" "labour"
"1185" "working" "<26" "male" "labour"
"1186" "working" "<26" "male" "labour"
"1187" "working" "<26" "male" "labour"
"1188" "working" "<26" "male" "labour"
"1189" "working" "<26" "male" "labour"
"1190" "working" "<26" "male" "labour"
"1191" "working" "<26" "male" "labour"
"1192" "working" "<26" "male" "labour"
"1193" "working" "<26" "male" "labour"
"1194" "working" "<26" "male" "labour"
"1195" "working" "<26" "male" "labour"
"1196" "working" "<26" "male" "labour"
"1197" "working" "<26" "male" "labour"
"1198" "working" "<26" "male" "labour"
"1199" "working" "<26" "male" "labour"
"1200" "working" "<26" "male" "labour"
"1201" "working" "<26" "male" "labour"
"1202" "working" "<26" "male" "labour"
"1203" "working" "<26" "male" "labour"
"1204" "working" "<26" "male" "labour"
"1205" "working" "<26" "male" "labour"
"1206" "working" "<26" "male" "labour"
"1207" "working" "<26" "female" "conservative"
"1208" "working" "<26" "female" "conservative"
"1209" "working" "<26" "female" "conservative"
"1210" "working" "<26" "female" "conservative"
"1211" "working" "<26" "female" "conservative"
"1212" "working" "<26" "female" "conservative"
"1213" "working" "<26" "female" "conservative"
"1214" "working" "<26" "female" "conservative"
"1215" "working" "<26" "female" "conservative"
"1216" "working" "<26" "female" "conservative"
"1217" "working" "<26" "female" "conservative"
"1218" "working" "<26" "female" "conservative"
"1219" "working" "<26" "female" "conservative"
"1220" "working" "<26" "female" "conservative"
"1221" "working" "<26" "female" "conservative"
"1222" "working" "<26" "female" "conservative"
"1223" "working" "<26" "female" "conservative"
"1224" "working" "<26" "female" "conservative"
"1225" "working" "<26" "female" "labour"
"1226" "working" "<26" "female" "labour"
"1227" "working" "<26" "female" "labour"
"1228" "working" "<26" "female" "labour"
"1229" "working" "<26" "female" "labour"
"1230" "working" "<26" "female" "labour"
"1231" "working" "<26" "female" "labour"
"1232" "working" "<26" "female" "labour"
"1233" "working" "<26" "female" "labour"
"1234" "working" "<26" "female" "labour"
"1235" "working" "<26" "female" "labour"
"1236" "working" "<26" "female" "labour"
"1237" "working" "<26" "female" "labour"
"1238" "working" "<26" "female" "labour"
"1239" "working" "<26" "female" "labour"
"1240" "working" "<26" "female" "labour"
"1241" "working" "<26" "female" "labour"
"1242" "working" "<26" "female" "labour"
"1243" "working" "<26" "female" "labour"
"1244" "working" "<26" "female" "labour"
"1245" "working" "<26" "female" "labour"
"1246" "working" "<26" "female" "labour"
"1247" "working" "<26" "female" "labour"
"1248" "working" "<26" "female" "labour"
"1249" "working" "<26" "female" "labour"
"1250" "working" "<26" "female" "labour"
"1251" "working" "<26" "female" "labour"
"1252" "working" "<26" "female" "labour"
"1253" "working" "<26" "female" "labour"
"1254" "working" "<26" "female" "labour"
"1255" "working" "<26" "female" "labour"
"1256" "working" "<26" "female" "labour"
"1257" "working" "<26" "female" "labour"
